year,state,median_sale_price,homes_sold,population,migration_total,pop_change
2016,Arkansas,138342,104812,2949650,71083,11309
2016,California,511030,1504982,38783436,514758,108301
2016,Colorado,364703,324036,5476928,223260,83861
2016,Connecticut,358155,180596,3541758,75586,-13086
2016,Delaware,170048,35782,942073,33400,6260
2016,Florida,195825,1473158,20401575,605018,333183
2016,Georgia,186330,522626,10179860,305040,91335
2016,Hawaii,555150,60470,1410258,57229,-4097
2016,Idaho,204733,99584,1663756,71556,28390
2016,Illinois,197778,616720,12654142,203713,-52251
2016,Indiana,128842,210182,6554084,145782,13393
2016,Iowa,159410,58220,3097283,78263,15837
2016,Kansas,150473,98562,2870529,88830,-5111
2016,Kentucky,139145,146390,4385213,113238,11810
2016,Louisiana,182718,124078,4622042,85371,10018
2016,Maine,187487,64834,1319292,38590,1848
2016,Maryland,221710,332822,5949566,158647,15561
2016,Massachusetts,365888,333500,6745441,149408,19763
2016,Michigan,125539,513814,9813772,155874,2356
2016,Minnesota,196515,323672,5455904,111307,36082
2016,Mississippi,128742,54536,2951081,64639,-8208
2016,Missouri,135252,247818,6022165,162809,6585
2016,Nebraska,160758,75398,1882987,51448,13770
2016,Nevada,187727,208478,2907243,117899,47754
2016,New Hampshire,211603,90934,1322101,52457,3980
2016,New Jersey,261145,403698,8852286,144359,-2077
2016,New Mexico,278839,10276,2057857,64802,-2584
2016,New York,357857,489550,19526443,260723,-43728
2016,North Carolina,181612,459712,10032407,330896,104860
2016,Ohio,120472,561556,11481752,195396,-390
2016,Oklahoma,129288,157892,3873232,102000,8324
2016,Oregon,286547,255590,4052221,139334,66509
2016,Pennsylvania,173808,481382,12645493,252060,-16699
2016,Rhode Island,221658,58246,1045691,32800,629
2016,South Carolina,195262,215592,4903788,165230,63804
2016,South Dakota,163168,17942,853832,31789,5547
2016,Tennessee,182082,316224,6580953,170867,58694
2016,Texas,208552,1077404,27472626,531996,379778
2016,Utah,250742,183024,3002244,107083,54821
2016,Vermont,208905,31938,619387,21262,-565
2016,Virginia,268183,447962,8312297,264164,28560
2016,Washington,345008,464664,7202119,257728,112976
2016,West Virginia,161042,15312,1810709,47196,-13044
2016,Wisconsin,152882,310058,5712104,118814,3903
2017,Alabama,169007,151702,4819343,111803,9217
2017,Alaska,284283,28486,730874,30199,-886
2017,Arizona,208870,474104,6935358,261727,83522
2017,Arkansas,150788,109148,2968395,79411,18745
2017,California,554245,1522878,39085984,523131,302548
2017,Colorado,395905,327986,5542282,226933,65354
2017,Connecticut,296418,193030,3556297,83325,14539
2017,Delaware,176445,39714,952449,38532,10376
