current_state,year,population,from,from_different_state_Total
Maryland,2014,5911235,Alabama,156787
Massachusetts,2014,6674907,Alabama,146622
Michigan,2014,9795659,Alabama,149991
Minnesota,2014,5385219,Alabama,106783
Mississippi,2014,2957658,Alabama,73927
Missouri,2014,5992195,Alabama,153320
Montana,2014,1012169,Alabama,37561
Nebraska,2014,1855356,Alabama,52200
Nevada,2014,2806170,Alabama,130390
New Hampshire,2014,1314735,Alabama,41393
New Jersey,2014,8840346,Alabama,128911
New Mexico,2014,2060189,Alabama,68917
New York,2014,19528220,Alabama,258571
North Carolina,2014,9832152,Alabama,286533
North Dakota,2014,729874,Alabama,39059
Ohio,2014,11464891,Alabama,196742
Oklahoma,2014,3827288,Alabama,111346
Oregon,2014,3927857,Alabama,137008
Pennsylvania,2014,12645888,Alabama,232889
Rhode Island,2014,1045791,Alabama,32621
South Carolina,2014,4780659,Alabama,171969
South Dakota,2014,842076,Alabama,28198
Tennessee,2014,6471445,Alabama,182130
Texas,2014,26588600,Alabama,538572
Utah,2014,2894001,Alabama,90234
Vermont,2014,620898,Alabama,22635
Virginia,2014,8224054,Alabama,262477
Washington,2014,6979369,Alabama,220259
West Virginia,2014,1831414,Alabama,47957
Wisconsin,2014,5692727,Alabama,117831
Wyoming,2014,577782,Alabama,25992
Puerto Rico,2014,3511186,Alabama,19771
Alabama,2015,4801599,Alabama,114876
Alaska,2015,727862,Alabama,34696
Arizona,2015,6747595,Alabama,253281
Arkansas,2015,2938341,Alabama,81594
California,2015,38675135,Alabama,514477
Colorado,2015,5393067,Alabama,227445
Connecticut,2015,3554844,Alabama,76997
Delaware,2015,935813,Alabama,44495
District of Columbia ,2015,663006,Alabama,59905
Florida,2015,20068392,Alabama,584938
Georgia,2015,10088525,Alabama,283325
Hawaii,2015,1414355,Alabama,53742
Idaho,2015,1635366,Alabama,73809
Illinois,2015,12706393,Alabama,209828
Indiana,2015,6540691,Alabama,147529
Iowa,2015,3081446,Alabama,85937
Kansas,2015,2875640,Alabama,91340
Kentucky,2015,4373403,Alabama,106918
Louisiana,2015,4612024,Alabama,93321
Maine,2015,1317444,Alabama,30123
Maryland,2015,5934005,Alabama,168894
