current_state,year,population,from,from_different_state_Total
Wisconsin,2019,5760481,Montana,107973
Wyoming,2019,572884,Montana,30247
Puerto Rico,2019,3175835,Montana,31144
Alabama,2010,4729509,Nebraska,108723
Alaska,2010,702974,Nebraska,36326
Arizona,2010,6332786,Nebraska,222725
Arkansas,2010,2888304,Nebraska,79127
California,2010,36907897,Nebraska,444749
Colorado,2010,4988190,Nebraska,186366
Connecticut,2010,3541146,Nebraska,77333
Delaware,2010,889812,Nebraska,30759
District of Columbia ,2010,596747,Nebraska,51244
Florida,2010,18647600,Nebraska,482889
Georgia,2010,9587237,Nebraska,249459
Hawaii,2010,1346274,Nebraska,53581
Idaho,2010,1550967,Nebraska,55638
Illinois,2010,12680126,Nebraska,203959
Indiana,2010,6414862,Nebraska,127353
Iowa,2010,3013053,Nebraska,72557
Kansas,2010,2820894,Nebraska,95059
Kentucky,2010,4296639,Nebraska,118443
Louisiana,2010,4483529,Nebraska,97889
Maine,2010,1313902,Nebraska,27758
Maryland,2010,5716785,Nebraska,164484
Massachusetts,2010,6489250,Nebraska,140162
Michigan,2010,9762127,Nebraska,116149
Minnesota,2010,5244256,Nebraska,89872
Mississippi,2010,2931228,Nebraska,72321
Missouri,2010,5920858,Nebraska,145226
Montana,2010,978507,Nebraska,35630
Nebraska,2010,1802697,Nebraska,51290
Nevada,2010,2667364,Nebraska,102677
New Hampshire,2010,1303865,Nebraska,39367
New Jersey,2010,8709933,Nebraska,127369
New Mexico,2010,2039549,Nebraska,73605
New York,2010,19171916,Nebraska,269427
North Carolina,2010,9443000,Nebraska,263256
North Dakota,2010,665654,Nebraska,30100
Ohio,2010,11405101,Nebraska,172633
Oklahoma,2010,3716264,Nebraska,106511
Oregon,2010,3794008,Nebraska,116700
Pennsylvania,2010,12577555,Nebraska,235580
Rhode Island,2010,1042240,Nebraska,32059
South Carolina,2010,4577399,Nebraska,152441
South Dakota,2010,805616,Nebraska,25777
Tennessee,2010,6282706,Nebraska,159778
Texas,2010,24899075,Nebraska,486558
Utah,2010,2724064,Nebraska,77780
Vermont,2010,619363,Nebraska,22529
Virginia,2010,7930773,Nebraska,259507
Washington,2010,6661321,Nebraska,191784
West Virginia,2010,1833535,Nebraska,39609
Wisconsin,2010,5623196,Nebraska,93065
Wyoming,2010,556954,Nebraska,28046
Puerto Rico,2010,3676493,Nebraska,31732
Alabama,2011,4745278,Nebraska,117726
Alaska,2011,711962,Nebraska,35084
Arizona,2011,6402301,Nebraska,222877
Arkansas,2011,2906632,Nebraska,69845
California,2011,37222678,Nebraska,468428
Colorado,2011,5048443,Nebraska,202124
Connecticut,2011,3548667,Nebraska,71502
Delaware,2011,897187,Nebraska,33912
District of Columbia ,2011,611608,Nebraska,48066
Florida,2011,18863948,Nebraska,498597
Georgia,2011,9699859,Nebraska,271077
Hawaii,2011,1357806,Nebraska,57542
Idaho,2011,1559637,Nebraska,60336
Illinois,2011,12718402,Nebraska,216204
Indiana,2011,6437155,Nebraska,127874
Iowa,2011,3027718,Nebraska,70405
Kansas,2011,2833584,Nebraska,83640
Kentucky,2011,4316297,Nebraska,110031
Louisiana,2011,4518629,Nebraska,99138
Maine,2011,1315833,Nebraska,33818
Maryland,2011,5759087,Nebraska,153979
Massachusetts,2011,6515057,Nebraska,139830
Michigan,2011,9766574,Nebraska,139158
Minnesota,2011,5277329,Nebraska,101029
Mississippi,2011,2943021,Nebraska,68511
Missouri,2011,5937896,Nebraska,149439
Montana,2011,987076,Nebraska,33553
Nebraska,2011,1817126,Nebraska,52070
Nevada,2011,2688336,Nebraska,110345
New Hampshire,2011,1305678,Nebraska,37000
New Jersey,2011,8719952,Nebraska,140194
New Mexico,2011,2055293,Nebraska,62130
New York,2011,19248685,Nebraska,282209
North Carolina,2011,9539412,Nebraska,265291
North Dakota,2011,675161,Nebraska,32510
Ohio,2011,11418944,Nebraska,191778
Oklahoma,2011,3742698,Nebraska,108878
Oregon,2011,3828714,Nebraska,127906
Pennsylvania,2011,12610486,Nebraska,234291
Rhode Island,2011,1040022,Nebraska,26769
South Carolina,2011,4624180,Nebraska,157644
South Dakota,2011,814175,Nebraska,27506
Tennessee,2011,6333466,Nebraska,170969
Texas,2011,25327104,Nebraska,514726
Utah,2011,2769627,Nebraska,85217
Vermont,2011,621354,Nebraska,20463
Virginia,2011,7996552,Nebraska,257130
Washington,2011,6748474,Nebraska,208507
West Virginia,2011,1836614,Nebraska,50068
Wisconsin,2011,5647213,Nebraska,109439
Wyoming,2011,561389,Nebraska,30651
Puerto Rico,2011,3669195,Nebraska,22649
Alabama,2012,4764428,Nebraska,104600
Alaska,2012,721186,Nebraska,33415
Arizona,2012,6468907,Nebraska,232457
Arkansas,2012,2912680,Nebraska,76948
California,2012,37572738,Nebraska,493641
Colorado,2012,5123944,Nebraska,205060
Connecticut,2012,3555319,Nebraska,80311
Delaware,2012,906576,Nebraska,34757
District of Columbia ,2012,624847,Nebraska,53830
Florida,2012,19114620,Nebraska,537148
Georgia,2012,9796547,Nebraska,277466
Hawaii,2012,1374852,Nebraska,55145
Idaho,2012,1573036,Nebraska,59283
Illinois,2012,12725119,Nebraska,208755
Indiana,2012,6457067,Nebraska,134137
Iowa,2012,3035469,Nebraska,75760
Kansas,2012,2848708,Nebraska,88284
Kentucky,2012,4328626,Nebraska,112787
Louisiana,2012,4545914,Nebraska,91215
Maine,2012,1315586,Nebraska,27523
Maryland,2012,5816472,Nebraska,154983
Massachusetts,2012,6580641,Nebraska,142577
Michigan,2012,9778980,Nebraska,133981
Minnesota,2012,5315228,Nebraska,101042
Mississippi,2012,2947696,Nebraska,73500
Missouri,2012,5951913,Nebraska,162930
Montana,2012,995544,Nebraska,37690
Nebraska,2012,1829420,Nebraska,43266
Nevada,2012,2725280,Nebraska,124285
New Hampshire,2012,1309203,Nebraska,50484
New Jersey,2012,8772744,Nebraska,130223
New Mexico,2012,2060595,Nebraska,54693
New York,2012,19352153,Nebraska,270053
North Carolina,2012,9640490,Nebraska,273149
North Dakota,2012,689838,Nebraska,38213
Ohio,2012,11414635,Nebraska,196391
Oklahoma,2012,3762311,Nebraska,108972
Oregon,2012,3857465,Nebraska,118925
Pennsylvania,2012,12630082,Nebraska,215500
Rhode Island,2012,1040527,Nebraska,33446
South Carolina,2012,4668886,Nebraska,156705
South Dakota,2012,821669,Nebraska,26051
Tennessee,2012,6378278,Nebraska,177098
Texas,2012,25711791,Nebraska,507752
Utah,2012,2805440,Nebraska,87870
Vermont,2012,620224,Nebraska,24431
Virginia,2012,8085389,Nebraska,250653
Washington,2012,6815763,Nebraska,215494
West Virginia,2012,1837518,Nebraska,47125
Wisconsin,2012,5660677,Nebraska,99192
Wyoming,2012,569734,Nebraska,31149
Puerto Rico,2012,3628402,Nebraska,20044
Alabama,2013,4781296,Nebraska,104102
Alaska,2013,725193,Nebraska,34360
Arizona,2013,6543362,Nebraska,236146
Arkansas,2013,2923642,Nebraska,70621
California,2013,37873189,Nebraska,485477
Colorado,2013,5206012,Nebraska,206543
Connecticut,2013,3562959,Nebraska,88351
Delaware,2013,914025,Nebraska,36790
District of Columbia ,2013,636535,Nebraska,46571
Florida,2013,19345059,Nebraska,529406
Georgia,2013,9870319,Nebraska,278972
Hawaii,2013,1387361,Nebraska,58083
Idaho,2013,1592596,Nebraska,61592
Illinois,2013,12740816,Nebraska,223605
Indiana,2013,6492306,Nebraska,133508
Iowa,2013,3053635,Nebraska,75650
Kansas,2013,2854869,Nebraska,89735
Kentucky,2013,4345186,Nebraska,103207
Louisiana,2013,4568320,Nebraska,91889
Maine,2013,1315753,Nebraska,36780
Maryland,2013,5857213,Nebraska,161525
Massachusetts,2013,6619999,Nebraska,135150
Michigan,2013,9784094,Nebraska,144091
Minnesota,2013,5353441,Nebraska,104825
Mississippi,2013,2957797,Nebraska,68588
Missouri,2013,5973448,Nebraska,159936
Montana,2013,1003013,Nebraska,40035
Nebraska,2013,1842900,Nebraska,45854
Nevada,2013,2757365,Nebraska,126583
New Hampshire,2013,1310978,Nebraska,44867
New Jersey,2013,8803679,Nebraska,136907
New Mexico,2013,2059689,Nebraska,56808
New York,2013,19431954,Nebraska,272066
North Carolina,2013,9737365,Nebraska,275922
North Dakota,2013,714804,Nebraska,38908
Ohio,2013,11439593,Nebraska,185749
Oklahoma,2013,3801521,Nebraska,109255
Oregon,2013,3888216,Nebraska,143841
Pennsylvania,2013,12639493,Nebraska,224280
Rhode Island,2013,1040986,Nebraska,34108
South Carolina,2013,4720602,Nebraska,166047
South Dakota,2013,832703,Nebraska,30042
Tennessee,2013,6419226,Nebraska,186525
Texas,2013,26087349,Nebraska,548034
Utah,2013,2854667,Nebraska,97869
Vermont,2013,621256,Nebraska,23180
Virginia,2013,8163664,Nebraska,266348
Washington,2013,6888552,Nebraska,208215
West Virginia,2013,1837863,Nebraska,51957
Wisconsin,2013,5681024,Nebraska,100846
Wyoming,2013,575933,Nebraska,27584
Puerto Rico,2013,3579220,Nebraska,24652
Alabama,2014,4791931,Nebraska,107919
Alaska,2014,725206,Nebraska,37842
Arizona,2014,6651964,Nebraska,249730
Arkansas,2014,2931123,Nebraska,74741
California,2014,38340324,Nebraska,513968
Colorado,2014,5293943,Nebraska,218728
Connecticut,2014,3558915,Nebraska,82746
Delaware,2014,924770,Nebraska,32166
District of Columbia ,2014,648586,Nebraska,56234
Florida,2014,19683763,Nebraska,546501
Georgia,2014,9970167,Nebraska,274095
Hawaii,2014,1401004,Nebraska,58144
Idaho,2014,1613068,Nebraska,64633
Illinois,2014,12730206,Nebraska,209536
Indiana,2014,6516181,Nebraska,139846
Iowa,2014,3067872,Nebraska,79194
Kansas,2014,2866584,Nebraska,96467
Kentucky,2014,4357819,Nebraska,104975
Louisiana,2014,4593505,Nebraska,97814
Maine,2014,1317638,Nebraska,39065
Maryland,2014,5911235,Nebraska,156787
Massachusetts,2014,6674907,Nebraska,146622
Michigan,2014,9795659,Nebraska,149991
Minnesota,2014,5385219,Nebraska,106783
Mississippi,2014,2957658,Nebraska,73927
Missouri,2014,5992195,Nebraska,153320
Montana,2014,1012169,Nebraska,37561
Nebraska,2014,1855356,Nebraska,52200
Nevada,2014,2806170,Nebraska,130390
New Hampshire,2014,1314735,Nebraska,41393
New Jersey,2014,8840346,Nebraska,128911
New Mexico,2014,2060189,Nebraska,68917
New York,2014,19528220,Nebraska,258571
North Carolina,2014,9832152,Nebraska,286533
North Dakota,2014,729874,Nebraska,39059
Ohio,2014,11464891,Nebraska,196742
Oklahoma,2014,3827288,Nebraska,111346
Oregon,2014,3927857,Nebraska,137008
Pennsylvania,2014,12645888,Nebraska,232889
Rhode Island,2014,1045791,Nebraska,32621
South Carolina,2014,4780659,Nebraska,171969
South Dakota,2014,842076,Nebraska,28198
Tennessee,2014,6471445,Nebraska,182130
Texas,2014,26588600,Nebraska,538572
Utah,2014,2894001,Nebraska,90234
Vermont,2014,620898,Nebraska,22635
Virginia,2014,8224054,Nebraska,262477
Washington,2014,6979369,Nebraska,220259
West Virginia,2014,1831414,Nebraska,47957
Wisconsin,2014,5692727,Nebraska,117831
Wyoming,2014,577782,Nebraska,25992
Puerto Rico,2014,3511186,Nebraska,19771
Alabama,2015,4801599,Nebraska,114876
Alaska,2015,727862,Nebraska,34696
Arizona,2015,6747595,Nebraska,253281
Arkansas,2015,2938341,Nebraska,81594
California,2015,38675135,Nebraska,514477
Colorado,2015,5393067,Nebraska,227445
Connecticut,2015,3554844,Nebraska,76997
Delaware,2015,935813,Nebraska,44495
District of Columbia ,2015,663006,Nebraska,59905
Florida,2015,20068392,Nebraska,584938
Georgia,2015,10088525,Nebraska,283325
Hawaii,2015,1414355,Nebraska,53742
Idaho,2015,1635366,Nebraska,73809
Illinois,2015,12706393,Nebraska,209828
Indiana,2015,6540691,Nebraska,147529
Iowa,2015,3081446,Nebraska,85937
Kansas,2015,2875640,Nebraska,91340
Kentucky,2015,4373403,Nebraska,106918
Louisiana,2015,4612024,Nebraska,93321
Maine,2015,1317444,Nebraska,30123
Maryland,2015,5934005,Nebraska,168894
Massachusetts,2015,6725678,Nebraska,132642
Michigan,2015,9811416,Nebraska,142639
Minnesota,2015,5419822,Nebraska,108476
Mississippi,2015,2959289,Nebraska,69351
Missouri,2015,6015580,Nebraska,159152
Montana,2015,1019646,Nebraska,42760
Nebraska,2015,1869217,Nebraska,52950
Nevada,2015,2859489,Nebraska,135999
New Hampshire,2015,1318121,Nebraska,53446
New Jersey,2015,8854363,Nebraska,144074
New Mexico,2015,2060441,Nebraska,55753
New York,2015,19570171,Nebraska,257611
North Carolina,2015,9927547,Nebraska,310612
North Dakota,2015,745291,Nebraska,42618
Ohio,2015,11482142,Nebraska,203475
Oklahoma,2015,3864908,Nebraska,110878
Oregon,2015,3985712,Nebraska,141162
Pennsylvania,2015,12662192,Nebraska,232683
Rhode Island,2015,1045062,Nebraska,38344
South Carolina,2015,4839984,Nebraska,170366
South Dakota,2015,848285,Nebraska,26962
Tennessee,2015,6522259,Nebraska,195923
Texas,2015,27092848,Nebraska,553032
Utah,2015,2947423,Nebraska,97361
Vermont,2015,619952,Nebraska,21232
Virginia,2015,8283737,Nebraska,277715
Washington,2015,7089143,Nebraska,230907
West Virginia,2015,1823753,Nebraska,42078
Wisconsin,2015,5708201,Nebraska,106511
Wyoming,2015,579102,Nebraska,35947
Puerto Rico,2015,3443445,Nebraska,24762
Alabama,2016,4810126,Nebraska,122220
Alaska,2016,731760,Nebraska,31300
Arizona,2016,6851836,Nebraska,273257
Arkansas,2016,2949650,Nebraska,71083
California,2016,38783436,Nebraska,514758
Colorado,2016,5476928,Nebraska,223260
Connecticut,2016,3541758,Nebraska,75586
Delaware,2016,942073,Nebraska,33400
District of Columbia ,2016,672022,Nebraska,58154
Florida,2016,20401575,Nebraska,605018
Georgia,2016,10179860,Nebraska,305040
Hawaii,2016,1410258,Nebraska,57229
Idaho,2016,1663756,Nebraska,71556
Illinois,2016,12654142,Nebraska,203713
Indiana,2016,6554084,Nebraska,145782
Iowa,2016,3097283,Nebraska,78263
Kansas,2016,2870529,Nebraska,88830
Kentucky,2016,4385213,Nebraska,113238
Louisiana,2016,4622042,Nebraska,85371
Maine,2016,1319292,Nebraska,38590
Maryland,2016,5949566,Nebraska,158647
Massachusetts,2016,6745441,Nebraska,149408
Michigan,2016,9813772,Nebraska,155874
Minnesota,2016,5455904,Nebraska,111307
Mississippi,2016,2951081,Nebraska,64639
Missouri,2016,6022165,Nebraska,162809
Montana,2016,1032794,Nebraska,37775
Nebraska,2016,1882987,Nebraska,51448
Nevada,2016,2907243,Nebraska,117899
New Hampshire,2016,1322101,Nebraska,52457
New Jersey,2016,8852286,Nebraska,144359
New Mexico,2016,2057857,Nebraska,64802
New York,2016,19526443,Nebraska,260723
North Carolina,2016,10032407,Nebraska,330896
North Dakota,2016,746271,Nebraska,29655
Ohio,2016,11481752,Nebraska,195396
Oklahoma,2016,3873232,Nebraska,102000
Oregon,2016,4052221,Nebraska,139334
Pennsylvania,2016,12645493,Nebraska,252060
Rhode Island,2016,1045691,Nebraska,32800
South Carolina,2016,4903788,Nebraska,165230
South Dakota,2016,853832,Nebraska,31789
Tennessee,2016,6580953,Nebraska,170867
Texas,2016,27472626,Nebraska,531996
Utah,2016,3002244,Nebraska,107083
Vermont,2016,619387,Nebraska,21262
Virginia,2016,8312297,Nebraska,264164
Washington,2016,7202119,Nebraska,257728
West Virginia,2016,1810709,Nebraska,47196
Wisconsin,2016,5712104,Nebraska,118814
Wyoming,2016,577567,Nebraska,26471
Puerto Rico,2016,3384760,Nebraska,21196
Alabama,2017,4819343,Nebraska,111803
Alaska,2017,730874,Nebraska,30199
Arizona,2017,6935358,Nebraska,261727
Arkansas,2017,2968395,Nebraska,79411
California,2017,39085984,Nebraska,523131
Colorado,2017,5542282,Nebraska,226933
Connecticut,2017,3556297,Nebraska,83325
Delaware,2017,952449,Nebraska,38532
District of Columbia ,2017,684810,Nebraska,56231
Florida,2017,20772371,Nebraska,566476
Georgia,2017,10299497,Nebraska,278889
Hawaii,2017,1410750,Nebraska,46457
Idaho,2017,1694182,Nebraska,71899
Illinois,2017,12659328,Nebraska,195092
Indiana,2017,6591598,Nebraska,142290
Iowa,2017,3106880,Nebraska,77072
Kansas,2017,2876925,Nebraska,86154
Kentucky,2017,4404279,Nebraska,103985
Louisiana,2017,4629962,Nebraska,72836
Maine,2017,1322591,Nebraska,34252
Maryland,2017,5988007,Nebraska,165654
Massachusetts,2017,6789798,Nebraska,146299
Michigan,2017,9851330,Nebraska,148787
Minnesota,2017,5510902,Nebraska,115623
Mississippi,2017,2946971,Nebraska,73549
Missouri,2017,6039877,Nebraska,164957
Montana,2017,1039170,Nebraska,35456
Nebraska,2017,1894217,Nebraska,52507
Nevada,2017,2963456,Nebraska,133074
New Hampshire,2017,1330742,Nebraska,52893
New Jersey,2017,8910191,Nebraska,152106
New Mexico,2017,2062628,Nebraska,57255
New York,2017,19638923,Nebraska,285252
North Carolina,2017,10158556,Nebraska,313834
North Dakota,2017,744641,Nebraska,37315
Ohio,2017,11520109,Nebraska,198929
Oklahoma,2017,3875922,Nebraska,101961
Oregon,2017,4102048,Nebraska,149513
Pennsylvania,2017,12674642,Nebraska,250120
Rhode Island,2017,1048549,Nebraska,36850
South Carolina,2017,4966211,Nebraska,166573
South Dakota,2017,856726,Nebraska,26106
Tennessee,2017,6642072,Nebraska,191909
Texas,2017,27924632,Nebraska,524511
Utah,2017,3056193,Nebraska,99584
Vermont,2017,619089,Nebraska,21868
Virginia,2017,8372522,Nebraska,250490
Washington,2017,7318811,Nebraska,260787
West Virginia,2017,1798306,Nebraska,40007
Wisconsin,2017,5731549,Nebraska,112519
Wyoming,2017,573483,Nebraska,18511
Puerto Rico,2017,3313519,Nebraska,20167
Alabama,2018,4832358,Nebraska,109301
Alaska,2018,727164,Nebraska,32099
Arizona,2018,7090137,Nebraska,273714
Arkansas,2018,2975961,Nebraska,73179
California,2018,39114889,Nebraska,501023
Colorado,2018,5633029,Nebraska,239153
Connecticut,2018,3538203,Nebraska,84718
Delaware,2018,958770,Nebraska,34451
District of Columbia ,2018,693798,Nebraska,47555
Florida,2018,21092877,Nebraska,587261
Georgia,2018,10410462,Nebraska,274273
Hawaii,2018,1403653,Nebraska,54074
Idaho,2018,1734756,Nebraska,79765
Illinois,2018,12599244,Nebraska,206620
Indiana,2018,6612948,Nebraska,145256
Iowa,2018,3119306,Nebraska,74199
Kansas,2018,2874208,Nebraska,95748
Kentucky,2018,4414714,Nebraska,110456
Louisiana,2018,4603081,Nebraska,81355
Maine,2018,1324095,Nebraska,34706
Maryland,2018,5974521,Nebraska,163216
Massachusetts,2018,6834364,Nebraska,144042
Michigan,2018,9891083,Nebraska,139276
Minnesota,2018,5543490,Nebraska,100270
Mississippi,2018,2955717,Nebraska,68000
Missouri,2018,6053109,Nebraska,152326
Montana,2018,1051757,Nebraska,43375
Nebraska,2018,1905843,Nebraska,54579
Nevada,2018,3003761,Nebraska,127362
New Hampshire,2018,1344750,Nebraska,48367
New Jersey,2018,8815804,Nebraska,159846
New Mexico,2018,2072546,Nebraska,60068
New York,2018,19329704,Nebraska,254447
North Carolina,2018,10274540,Nebraska,318681
North Dakota,2018,749825,Nebraska,33735
Ohio,2018,11555163,Nebraska,198026
Oklahoma,2018,3895983,Nebraska,106943
Oregon,2018,4152756,Nebraska,140627
Pennsylvania,2018,12674699,Nebraska,253520
Rhode Island,2018,1047975,Nebraska,32841
South Carolina,2018,5029034,Nebraska,186505
South Dakota,2018,871271,Nebraska,26775
Tennessee,2018,6692936,Nebraska,209377
Texas,2018,28333482,Nebraska,563945
Utah,2018,3114717,Nebraska,100824
Vermont,2018,621681,Nebraska,26306
Virginia,2018,8424340,Nebraska,274003
Washington,2018,7453439,Nebraska,260906
West Virginia,2018,1787630,Nebraska,43841
Wisconsin,2018,5751525,Nebraska,114613
Wyoming,2018,570867,Nebraska,25734
Puerto Rico,2018,3173956,Nebraska,20900
Alabama,2019,4849509,Nebraska,104780
Alaska,2019,722063,Nebraska,34031
Arizona,2019,7200620,Nebraska,253295
Arkansas,2019,2989054,Nebraska,59723
California,2019,39084048,Nebraska,480204
Colorado,2019,5701658,Nebraska,240600
Connecticut,2019,3531986,Nebraska,90044
Delaware,2019,964817,Nebraska,38014
District of Columbia ,2019,697556,Nebraska,58879
Florida,2019,21269409,Nebraska,601611
Georgia,2019,10499808,Nebraska,284541
Hawaii,2019,1396819,Nebraska,49708
Idaho,2019,1764327,Nebraska,78730
Illinois,2019,12536539,Nebraska,190627
Indiana,2019,6656971,Nebraska,151443
Iowa,2019,3121385,Nebraska,72651
Kansas,2019,2879518,Nebraska,94648
Kentucky,2019,4421512,Nebraska,100057
Louisiana,2019,4595111,Nebraska,67640
Maine,2019,1331656,Nebraska,36129
Maryland,2019,5979602,Nebraska,141766
Massachusetts,2019,6828110,Nebraska,144079
Michigan,2019,9880758,Nebraska,132008
Minnesota,2019,5575235,Nebraska,106920
Mississippi,2019,2943737,Nebraska,61683
Missouri,2019,6069697,Nebraska,152345
Montana,2019,1056994,Nebraska,40862
Nebraska,2019,1910711,Nebraska,46064
Nevada,2019,3048602,Nebraska,132950
New Hampshire,2019,1350155,Nebraska,50288
New Jersey,2019,8791672,Nebraska,149260
New Mexico,2019,2073628,Nebraska,55545
New York,2019,19240920,Nebraska,254806
North Carolina,2019,10371906,Nebraska,315215
North Dakota,2019,750501,Nebraska,36668
Ohio,2019,11556037,Nebraska,205542
Oklahoma,2019,3907258,Nebraska,101844
Oregon,2019,4178578,Nebraska,129921
Pennsylvania,2019,12670245,Nebraska,267465
Rhode Island,2019,1050602,Nebraska,34984
South Carolina,2019,5092727,Nebraska,176008
South Dakota,2019,872708,Nebraska,26934
Tennessee,2019,6754461,Nebraska,196765
Texas,2019,28642658,Nebraska,559661
Utah,2019,3162102,Nebraska,95608
Vermont,2019,617560,Nebraska,21212
Virginia,2019,8439982,Nebraska,264855
Washington,2019,7527366,Nebraska,231956
West Virginia,2019,1773280,Nebraska,39548
Wisconsin,2019,5760481,Nebraska,107973
Wyoming,2019,572884,Nebraska,30247
Puerto Rico,2019,3175835,Nebraska,31144
Alabama,2010,4729509,Nevada,108723
Alaska,2010,702974,Nevada,36326
Arizona,2010,6332786,Nevada,222725
Arkansas,2010,2888304,Nevada,79127
California,2010,36907897,Nevada,444749
Colorado,2010,4988190,Nevada,186366
Connecticut,2010,3541146,Nevada,77333
Delaware,2010,889812,Nevada,30759
District of Columbia ,2010,596747,Nevada,51244
Florida,2010,18647600,Nevada,482889
Georgia,2010,9587237,Nevada,249459
Hawaii,2010,1346274,Nevada,53581
Idaho,2010,1550967,Nevada,55638
Illinois,2010,12680126,Nevada,203959
Indiana,2010,6414862,Nevada,127353
Iowa,2010,3013053,Nevada,72557
Kansas,2010,2820894,Nevada,95059
Kentucky,2010,4296639,Nevada,118443
Louisiana,2010,4483529,Nevada,97889
Maine,2010,1313902,Nevada,27758
Maryland,2010,5716785,Nevada,164484
Massachusetts,2010,6489250,Nevada,140162
Michigan,2010,9762127,Nevada,116149
Minnesota,2010,5244256,Nevada,89872
Mississippi,2010,2931228,Nevada,72321
Missouri,2010,5920858,Nevada,145226
Montana,2010,978507,Nevada,35630
Nebraska,2010,1802697,Nevada,51290
Nevada,2010,2667364,Nevada,102677
New Hampshire,2010,1303865,Nevada,39367
New Jersey,2010,8709933,Nevada,127369
New Mexico,2010,2039549,Nevada,73605
New York,2010,19171916,Nevada,269427
North Carolina,2010,9443000,Nevada,263256
North Dakota,2010,665654,Nevada,30100
Ohio,2010,11405101,Nevada,172633
Oklahoma,2010,3716264,Nevada,106511
Oregon,2010,3794008,Nevada,116700
Pennsylvania,2010,12577555,Nevada,235580
Rhode Island,2010,1042240,Nevada,32059
South Carolina,2010,4577399,Nevada,152441
South Dakota,2010,805616,Nevada,25777
Tennessee,2010,6282706,Nevada,159778
Texas,2010,24899075,Nevada,486558
Utah,2010,2724064,Nevada,77780
Vermont,2010,619363,Nevada,22529
Virginia,2010,7930773,Nevada,259507
Washington,2010,6661321,Nevada,191784
West Virginia,2010,1833535,Nevada,39609
Wisconsin,2010,5623196,Nevada,93065
Wyoming,2010,556954,Nevada,28046
Puerto Rico,2010,3676493,Nevada,31732
Alabama,2011,4745278,Nevada,117726
Alaska,2011,711962,Nevada,35084
Arizona,2011,6402301,Nevada,222877
Arkansas,2011,2906632,Nevada,69845
California,2011,37222678,Nevada,468428
Colorado,2011,5048443,Nevada,202124
Connecticut,2011,3548667,Nevada,71502
Delaware,2011,897187,Nevada,33912
District of Columbia ,2011,611608,Nevada,48066
Florida,2011,18863948,Nevada,498597
Georgia,2011,9699859,Nevada,271077
Hawaii,2011,1357806,Nevada,57542
Idaho,2011,1559637,Nevada,60336
Illinois,2011,12718402,Nevada,216204
Indiana,2011,6437155,Nevada,127874
Iowa,2011,3027718,Nevada,70405
Kansas,2011,2833584,Nevada,83640
Kentucky,2011,4316297,Nevada,110031
Louisiana,2011,4518629,Nevada,99138
Maine,2011,1315833,Nevada,33818
Maryland,2011,5759087,Nevada,153979
Massachusetts,2011,6515057,Nevada,139830
Michigan,2011,9766574,Nevada,139158
Minnesota,2011,5277329,Nevada,101029
Mississippi,2011,2943021,Nevada,68511
Missouri,2011,5937896,Nevada,149439
Montana,2011,987076,Nevada,33553
Nebraska,2011,1817126,Nevada,52070
Nevada,2011,2688336,Nevada,110345
New Hampshire,2011,1305678,Nevada,37000
New Jersey,2011,8719952,Nevada,140194
New Mexico,2011,2055293,Nevada,62130
New York,2011,19248685,Nevada,282209
North Carolina,2011,9539412,Nevada,265291
North Dakota,2011,675161,Nevada,32510
Ohio,2011,11418944,Nevada,191778
Oklahoma,2011,3742698,Nevada,108878
Oregon,2011,3828714,Nevada,127906
Pennsylvania,2011,12610486,Nevada,234291
Rhode Island,2011,1040022,Nevada,26769
South Carolina,2011,4624180,Nevada,157644
South Dakota,2011,814175,Nevada,27506
Tennessee,2011,6333466,Nevada,170969
Texas,2011,25327104,Nevada,514726
Utah,2011,2769627,Nevada,85217
Vermont,2011,621354,Nevada,20463
Virginia,2011,7996552,Nevada,257130
Washington,2011,6748474,Nevada,208507
West Virginia,2011,1836614,Nevada,50068
Wisconsin,2011,5647213,Nevada,109439
Wyoming,2011,561389,Nevada,30651
Puerto Rico,2011,3669195,Nevada,22649
Alabama,2012,4764428,Nevada,104600
Alaska,2012,721186,Nevada,33415
Arizona,2012,6468907,Nevada,232457
Arkansas,2012,2912680,Nevada,76948
California,2012,37572738,Nevada,493641
Colorado,2012,5123944,Nevada,205060
Connecticut,2012,3555319,Nevada,80311
Delaware,2012,906576,Nevada,34757
District of Columbia ,2012,624847,Nevada,53830
Florida,2012,19114620,Nevada,537148
Georgia,2012,9796547,Nevada,277466
Hawaii,2012,1374852,Nevada,55145
Idaho,2012,1573036,Nevada,59283
Illinois,2012,12725119,Nevada,208755
Indiana,2012,6457067,Nevada,134137
Iowa,2012,3035469,Nevada,75760
Kansas,2012,2848708,Nevada,88284
Kentucky,2012,4328626,Nevada,112787
Louisiana,2012,4545914,Nevada,91215
Maine,2012,1315586,Nevada,27523
Maryland,2012,5816472,Nevada,154983
Massachusetts,2012,6580641,Nevada,142577
Michigan,2012,9778980,Nevada,133981
Minnesota,2012,5315228,Nevada,101042
Mississippi,2012,2947696,Nevada,73500
Missouri,2012,5951913,Nevada,162930
Montana,2012,995544,Nevada,37690
Nebraska,2012,1829420,Nevada,43266
Nevada,2012,2725280,Nevada,124285
New Hampshire,2012,1309203,Nevada,50484
New Jersey,2012,8772744,Nevada,130223
New Mexico,2012,2060595,Nevada,54693
New York,2012,19352153,Nevada,270053
North Carolina,2012,9640490,Nevada,273149
North Dakota,2012,689838,Nevada,38213
