current_state,year,population,from,number_of_people,from_different_state_Total
Colorado,2010,4988190,abroad_PuertoRico,874,186366
Colorado,2010,4988190,abroad_USIslandArea,125,186366
Colorado,2010,4988190,abroad_ForeignCountry,33373,186366
Connecticut,2010,3541146,Alabama,896,77333
Connecticut,2010,3541146,Alaska,0,77333
Connecticut,2010,3541146,Arizona,664,77333
Connecticut,2010,3541146,Arkansas,334,77333
Connecticut,2010,3541146,California,4479,77333
Connecticut,2010,3541146,Colorado,547,77333
Connecticut,2010,3541146,Connecticut,0,77333
Connecticut,2010,3541146,Delaware,149,77333
Connecticut,2010,3541146,District of Columbia ,331,77333
Connecticut,2010,3541146,Florida,9207,77333
Connecticut,2010,3541146,Georgia,748,77333
Connecticut,2010,3541146,Hawaii,182,77333
Connecticut,2010,3541146,Idaho,147,77333
Connecticut,2010,3541146,Illinois,3391,77333
Connecticut,2010,3541146,Indiana,1074,77333
Connecticut,2010,3541146,Iowa,108,77333
Connecticut,2010,3541146,Kansas,0,77333
Connecticut,2010,3541146,Kentucky,400,77333
Connecticut,2010,3541146,Louisiana,0,77333
Connecticut,2010,3541146,Maine,528,77333
Connecticut,2010,3541146,Maryland,1531,77333
Connecticut,2010,3541146,Massachusetts,8510,77333
Connecticut,2010,3541146,Michigan,770,77333
Connecticut,2010,3541146,Minnesota,934,77333
Connecticut,2010,3541146,Mississippi,67,77333
Connecticut,2010,3541146,Missouri,42,77333
Connecticut,2010,3541146,Montana,0,77333
Connecticut,2010,3541146,Nebraska,0,77333
Connecticut,2010,3541146,Nevada,507,77333
Connecticut,2010,3541146,New Hampshire,1049,77333
Connecticut,2010,3541146,New Jersey,3475,77333
Connecticut,2010,3541146,New Mexico,112,77333
Connecticut,2010,3541146,New York,20727,77333
Connecticut,2010,3541146,North Carolina,1345,77333
Connecticut,2010,3541146,North Dakota,0,77333
Connecticut,2010,3541146,Ohio,1296,77333
Connecticut,2010,3541146,Oklahoma,145,77333
Connecticut,2010,3541146,Oregon,640,77333
Connecticut,2010,3541146,Pennsylvania,1955,77333
Connecticut,2010,3541146,Rhode Island,1728,77333
Connecticut,2010,3541146,South Carolina,1140,77333
Connecticut,2010,3541146,South Dakota,0,77333
Connecticut,2010,3541146,Tennessee,430,77333
Connecticut,2010,3541146,Texas,1887,77333
