state,year,median_sale_price,homes_sold
Louisiana,2021-11-01,245300,3368
Pennsylvania,2021-06-01,247900,4458
Mississippi,2012-11-01,125500,756
Missouri,2014-01-01,87100,28
Wisconsin,2020-03-01,165000,309
Rhode Island,2021-05-01,352900,187
Louisiana,2017-05-01,202900,107
Connecticut,2020-06-01,225700,221
Michigan,2018-12-01,169400,9119
Vermont,2017-11-01,189300,61
Missouri,2015-12-01,149600,4605
Missouri,2017-01-01,148600,54
Tennessee,2015-02-01,90500,22
Louisiana,2019-01-01,196400,1773
Vermont,2017-06-01,153500,81
Arizona,2019-10-01,299100,8425
New York,2015-09-01,222100,8008
Maryland,2018-02-01,325200,2839
Alaska,2016-12-01,279600,599
Delaware,2013-02-01,186300,283
Texas,2013-04-01,183000,21467
Pennsylvania,2019-07-01,151000,277
South Dakota,2018-03-01,122500,10
Alaska,2021-08-01,330800,913
Connecticut,2016-12-01,238900,3854
New Hampshire,2016-03-01,229500,1087
South Dakota,2013-09-01,183000,3
Virginia,2019-08-01,346400,2099
Oklahoma,2020-03-01,181700,3510
Mississippi,2017-12-01,86700,9
Arkansas,2014-01-01,85000,3
Minnesota,2019-06-01,268800,9151
Hawaii,2022-02-01,895600,565
Minnesota,2019-08-01,204200,413
Vermont,2019-02-01,227700,310
Iowa,2014-04-01,157300,792
Nebraska,2018-08-01,186000,116
Indiana,2012-10-01,123000,3366
Wisconsin,2018-10-01,174700,645
North Carolina,2013-12-01,205700,3398
Michigan,2016-12-01,96500,183
Oregon,2021-01-01,416900,3870
Tennessee,2021-08-01,288100,409
Washington,2015-01-01,302600,4143
Alabama,2021-08-01,203700,142
Illinois,2016-01-01,172100,371
Kentucky,2016-09-01,115200,38
Rhode Island,2013-09-01,214900,770
Illinois,2012-01-01,107100,296
West Virginia,2021-09-01,218800,108
Oregon,2013-03-01,182400,234
New Mexico,2015-12-01,239600,16
Nevada,2012-12-01,120000,51
Tennessee,2021-01-01,281200,5867
South Carolina,2020-07-01,289900,5794
Minnesota,2013-06-01,195500,7646
New Hampshire,2019-01-01,286100,809
Florida,2012-12-01,165000,15898
Tennessee,2017-08-01,208500,307
South Carolina,2018-06-01,257400,5029
Indiana,2020-07-01,226700,5692
South Carolina,2017-04-01,172300,272
Delaware,2016-11-01,162900,152
Iowa,2012-07-01,110000,11
Kentucky,2018-04-01,185000,2790
Nevada,2017-11-01,135500,444
Arkansas,2020-02-01,208400,22
Arizona,2015-05-01,152000,784
South Dakota,2016-03-01,174100,294
Colorado,2022-02-01,654500,3567
Washington,2019-07-01,444900,10193
Connecticut,2013-11-01,143200,234
Washington,2017-01-01,357500,119
Oregon,2014-08-01,271600,108
Missouri,2022-03-01,180200,381
Texas,2013-10-01,193200,600
Idaho,2012-11-01,153600,1292
Rhode Island,2017-10-01,202400,225
Illinois,2019-01-01,223500,328
Pennsylvania,2020-07-01,215600,4017
North Carolina,2021-08-01,270300,58
Florida,2019-09-01,230200,2574
Vermont,2020-01-01,222200,44
Kansas,2016-04-01,192400,2150
Alabama,2019-02-01,188700,2467
Connecticut,2014-07-01,153700,349
Missouri,2016-03-01,108900,69
Washington,2021-07-01,399600,1215
Iowa,2020-05-01,189600,186
Illinois,2018-05-01,229100,16306
Idaho,2018-08-01,228200,61
Minnesota,2020-11-01,290200,7697
Wisconsin,2014-12-01,129900,1433
Rhode Island,2018-08-01,216100,206
Delaware,2013-06-01,117000,39
South Carolina,2020-10-01,275500,6815
New Mexico,2017-11-01,377300,242
Indiana,2020-07-01,220900,6235
North Carolina,2017-02-01,213300,6168
South Carolina,2013-04-01,137800,149
Utah,2017-11-01,335100,42
Connecticut,2021-09-01,332600,5316
New Hampshire,2015-08-01,184000,264
Missouri,2020-11-01,211600,6100
Louisiana,2013-03-01,87100,101
Florida,2018-04-01,252000,388
Washington,2021-10-01,595600,741
New Jersey,2018-10-01,241000,708
Indiana,2021-04-01,192200,320
Maine,2013-08-01,192400,19
Colorado,2013-04-01,267700,6671
West Virginia,2018-01-01,180500,264
New York,2021-02-01,616400,2150
Utah,2014-02-01,237800,20
Delaware,2018-11-01,160700,220
Oklahoma,2019-09-01,86500,65
New York,2017-04-01,393800,9347
Ohio,2012-01-01,108400,18
New Mexico,2018-06-01,415000,3
Oregon,2019-03-01,357200,3717
Alabama,2018-10-01,259100,8
Alaska,2015-02-01,212000,77
Illinois,2016-10-01,200300,2135
California,2017-07-01,683400,1048
Michigan,2020-02-01,177500,7457
New Hampshire,2014-12-01,174600,106
Nebraska,2016-01-01,162100,848
Minnesota,2016-11-01,222500,4747
New Jersey,2018-07-01,280300,667
New Jersey,2014-04-01,243600,2943
Nebraska,2018-07-01,172100,17
Rhode Island,2021-07-01,377500,233
Virginia,2020-12-01,251600,68
Mississippi,2019-06-01,189200,1352
Colorado,2012-07-01,347500,35
Colorado,2018-07-01,391000,426
Georgia,2014-01-01,122400,443
South Dakota,2016-09-01,144000,19
Arkansas,2019-05-01,129200,31
Illinois,2021-05-01,273500,17412
Wisconsin,2020-04-01,218400,5749
Illinois,2012-07-01,160500,10999
West Virginia,2012-10-01,139800,287
Kansas,2012-11-01,152400,1552
Nevada,2013-07-01,184700,3953
Wisconsin,2018-09-01,184100,70
Massachusetts,2020-09-01,446000,1406
Georgia,2021-06-01,341500,13849
Oregon,2017-06-01,336000,6669
Iowa,2015-09-01,169300,1155
North Carolina,2016-11-01,164000,272
Oregon,2020-09-01,280700,418
Hawaii,2016-01-01,374900,476
Illinois,2020-04-01,242200,8129
California,2021-10-01,751900,36506
Illinois,2017-03-01,208700,8745
Virginia,2018-06-01,352900,2475
Mississippi,2022-02-01,245500,1190
Michigan,2012-07-01,112600,6895
Arizona,2019-01-01,260300,56
South Dakota,2017-04-01,136500,3
Arizona,2016-06-01,146300,720
Pennsylvania,2012-09-01,173400,7265
Indiana,2017-03-01,162500,3950
Indiana,2012-10-01,20300,28
Alabama,2020-09-01,178800,118
Utah,2015-01-01,232500,2083
Florida,2018-12-01,215300,2247
Minnesota,2015-08-01,216600,6385
Florida,2018-11-01,221400,2450
Maine,2016-03-01,128100,387
Oklahoma,2015-04-01,149200,3314
California,2017-03-01,514200,32541
Hawaii,2019-06-01,649900,668
Nevada,2018-02-01,199000,231
Massachusetts,2012-09-01,291400,3600
West Virginia,2021-12-01,285800,381
Louisiana,2015-04-01,194500,2169
Alabama,2015-09-01,144600,98
Alaska,2021-02-01,207500,98
Wisconsin,2012-04-01,126100,7
Rhode Island,2012-05-01,198100,684
Alabama,2013-11-01,117500,46
Arkansas,2019-05-01,182900,3073
Iowa,2021-03-01,184000,212
North Carolina,2021-04-01,309100,10794
West Virginia,2021-03-01,195100,58
Pennsylvania,2014-06-01,111100,175
California,2020-04-01,479200,2921
Maryland,2014-11-01,303900,2983
Wisconsin,2021-10-01,253600,6684
Wisconsin,2021-08-01,263600,7145
Nebraska,2021-06-01,276900,16
Connecticut,2016-06-01,640000,3
Hawaii,2021-05-01,658100,1744
Texas,2012-07-01,188400,528
Texas,2015-08-01,215700,23421
Arizona,2017-05-01,155000,852
Columbia,2012-02-01,391500,86
Texas,2013-09-01,162700,188
Missouri,2013-06-01,115100,26
New Hampshire,2014-10-01,190900,142
North Carolina,2019-12-01,249300,34
Virginia,2014-06-01,358600,5661
California,2019-05-01,800500,1119
Texas,2021-01-01,219400,780
Alabama,2016-02-01,208200,176
Kentucky,2012-03-01,116900,169
Kansas,2016-10-01,192100,1841
Pennsylvania,2020-11-01,224900,445
Tennessee,2019-05-01,223500,411
Hawaii,2017-10-01,726600,9
Rhode Island,2020-06-01,322600,962
Arkansas,2021-06-01,175800,111
West Virginia,2020-11-01,234700,402
Missouri,2015-02-01,88700,70
Kentucky,2021-04-01,219900,3301
Colorado,2017-05-01,342100,451
Illinois,2017-08-01,202500,1450
California,2021-02-01,846500,910
Iowa,2015-09-01,132500,9
Pennsylvania,2020-05-01,235300,236
New York,2019-12-01,658200,2201
Texas,2015-02-01,233000,469
South Carolina,2016-09-01,210100,5024
Idaho,2021-08-01,460800,2674
Wisconsin,2015-08-01,166400,11
Rhode Island,2019-08-01,290500,1536
Ohio,2017-05-01,150900,14481
Indiana,2014-09-01,144700,79
Oregon,2013-07-01,202400,346
New Jersey,2014-06-01,233500,369
Missouri,2016-09-01,137100,421
Colorado,2019-10-01,447800,5663
Connecticut,2013-07-01,120300,82
Oklahoma,2016-04-01,150700,3329
Arkansas,2019-09-01,140100,31
South Dakota,2017-10-01,193600,44
Missouri,2019-06-01,210200,5847
Missouri,2018-02-01,107900,84
New Mexico,2017-09-01,358500,199
Louisiana,2021-02-01,305200,94
Texas,2014-10-01,148800,952
Arkansas,2020-08-01,197500,3161
Illinois,2017-08-01,220400,10707
Illinois,2012-09-01,160700,6394
Alabama,2022-02-01,276000,2889
Nevada,2016-08-01,204700,39
New York,2012-11-01,170300,135
Oregon,2020-11-01,413300,5601
South Carolina,2014-03-01,124600,497
Maine,2015-01-01,162200,13
Minnesota,2013-03-01,137100,611
Florida,2013-01-01,155700,12570
Oregon,2012-09-01,212400,3825
Illinois,2018-02-01,200000,711
Maine,2014-12-01,152800,353
Wisconsin,2012-08-01,122500,2148
Missouri,2017-10-01,127000,65
Ohio,2018-03-01,147000,11218
Iowa,2013-09-01,117000,1
South Dakota,2021-05-01,256500,433
Rhode Island,2012-06-01,196700,1057
South Carolina,2013-02-01,114900,392
Vermont,2020-02-01,221200,444
Columbia,2015-05-01,669700,342
Texas,2017-04-01,183700,978
Vermont,2019-07-01,251700,760
Wisconsin,2014-08-01,132500,146
West Virginia,2019-03-01,200300,234
Florida,2016-11-01,206400,310
Indiana,2012-09-01,115800,212
West Virginia,2021-03-01,244500,408
Illinois,2012-04-01,155400,5939
Ohio,2016-12-01,137300,9249
Delaware,2017-09-01,212400,825
Ohio,2020-05-01,177400,95
Delaware,2017-01-01,207400,563
Colorado,2013-05-01,287100,6570
Virginia,2012-04-01,141400,11
Utah,2018-02-01,345000,37
Louisiana,2016-01-01,150800,117
Alaska,2019-01-01,258900,329
Rhode Island,2020-01-01,298500,958
Illinois,2018-09-01,203200,1110
Texas,2018-11-01,196800,727
Mississippi,2020-02-01,193100,970
South Carolina,2017-12-01,230200,4722
Massachusetts,2013-09-01,320900,444
Ohio,2012-09-01,109800,44
New York,2013-10-01,220500,7159
Michigan,2022-03-01,230900,8015
Georgia,2013-09-01,161700,8088
Michigan,2017-11-01,163900,1261
Washington,2019-03-01,429300,8159
Columbia,2021-03-01,638000,1021
Illinois,2019-05-01,265700,540
Nebraska,2018-12-01,189200,1236
California,2016-06-01,421600,5731
New Jersey,2013-11-01,240400,3885
Illinois,2014-07-01,203300,10100
Ohio,2015-07-01,151200,106
Delaware,2012-11-01,186900,602
West Virginia,2018-03-01,180100,324
Mississippi,2013-04-01,130100,974
South Carolina,2014-09-01,197700,3271
New Jersey,2016-05-01,301500,7365
Iowa,2021-07-01,186000,20
Kentucky,2014-10-01,144200,2447
New York,2020-09-01,546800,1566
Ohio,2021-04-01,200300,12508
New Hampshire,2021-12-01,299500,248
Indiana,2019-06-01,97000,81
Kentucky,2013-11-01,214200,19
Arizona,2014-11-01,194000,6264
Michigan,2013-11-01,99600,68
Indiana,2022-02-01,246500,3238
Florida,2014-05-01,156400,358
Oregon,2019-01-01,266400,214
Kansas,2016-06-01,146200,23
Columbia,2017-07-01,570000,887
Nebraska,2012-05-01,142100,1453
Idaho,2014-10-01,213700,35
Texas,2018-12-01,194900,765
New Mexico,2017-03-01,242000,11
Colorado,2017-12-01,276300,877
Vermont,2013-01-01,187900,20
Nevada,2013-09-01,175800,4114
Tennessee,2022-04-01,273400,51
Rhode Island,2017-11-01,260200,1266
New Jersey,2021-01-01,450700,678
Ohio,2012-08-01,120300,10856
Idaho,2015-08-01,199300,2014
Wisconsin,2016-05-01,145300,101
New Jersey,2016-04-01,203300,121
Virginia,2018-07-01,333400,12126
Connecticut,2017-03-01,163900,704
Pennsylvania,2021-12-01,291300,7322
Minnesota,2017-01-01,171200,200
Virginia,2020-12-01,371800,8773
Florida,2017-09-01,252400,17703
California,2014-10-01,379200,4735
Texas,2020-12-01,286400,31091
Arizona,2018-11-01,171600,562
Delaware,2015-12-01,234800,470
Idaho,2021-06-01,464300,2612
West Virginia,2018-01-01,187100,227
New Jersey,2017-10-01,291200,7987
Kansas,2021-10-01,275800,2152
Nevada,2017-03-01,238000,4996
Arizona,2017-03-01,242800,9523
Iowa,2016-12-01,176200,1060
Kansas,2015-10-01,91200,24
Texas,2014-09-01,193900,21379
Missouri,2012-04-01,112800,1437
Mississippi,2022-01-01,168900,12
Alabama,2018-10-01,196500,2892
Arkansas,2016-06-01,108100,25
Rhode Island,2020-01-01,307900,682
Vermont,2015-12-01,209000,485
New York,2021-01-01,395500,8617
Georgia,2012-08-01,125000,9370
Nevada,2022-01-01,232400,546
Pennsylvania,2014-03-01,164300,6714
Minnesota,2018-07-01,265400,154
Ohio,2020-01-01,157100,7050
Idaho,2021-04-01,399500,84
Rhode Island,2014-03-01,197400,785
New York,2017-03-01,431700,356
New Hampshire,2022-05-01,364900,164
Nebraska,2015-02-01,161500,7
Georgia,2012-11-01,76100,42
Ohio,2014-08-01,59400,207
Oregon,2014-09-01,257000,4708
New Hampshire,2013-05-01,202700,1723
Tennessee,2019-09-01,253100,7511
Utah,2017-01-01,278800,2508
Arizona,2016-11-01,211400,68
Colorado,2016-07-01,233700,1021
Hawaii,2022-02-01,944400,7
Nebraska,2013-02-01,107500,10
California,2021-04-01,907300,1312
Washington,2015-06-01,348100,8873
Kentucky,2020-03-01,194200,3054
New York,2013-07-01,225700,8008
Colorado,2019-03-01,441200,4975
Colorado,2013-09-01,166500,868
Maryland,2017-06-01,231900,2918
Columbia,2017-06-01,451000,401
Wisconsin,2013-03-01,78600,40
Oregon,2014-10-01,259400,4315
Illinois,2021-07-01,285400,12853
Oklahoma,2014-07-01,129400,36
Georgia,2020-11-01,230600,634
Michigan,2015-01-01,88700,102
Georgia,2019-02-01,181300,48
Vermont,2018-09-01,228100,722
New Jersey,2022-04-01,394200,1270
Rhode Island,2018-02-01,227300,107
Kentucky,2014-05-01,149000,2617
Kansas,2015-05-01,185800,2533
New York,2012-04-01,191000,4522
Ohio,2021-11-01,188900,1169
Michigan,2013-04-01,102000,925
Alaska,2022-04-01,356100,659
Indiana,2016-12-01,131000,223
North Carolina,2022-01-01,324700,54
Georgia,2014-02-01,137600,449
Maine,2021-09-01,338200,135
Oregon,2020-08-01,484000,94
Illinois,2012-05-01,158600,10725
Utah,2019-10-01,307200,424
Wisconsin,2014-07-01,145200,12
Kansas,2013-11-01,169000,1449
Idaho,2015-11-01,200100,1531
Colorado,2019-04-01,426700,7181
California,2017-09-01,707700,1030
Virginia,2012-11-01,314300,3725
Oklahoma,2019-10-01,140500,20
Oklahoma,2013-07-01,150300,3627
Illinois,2019-03-01,214300,11078
Massachusetts,2022-04-01,585900,5785
Kansas,2022-04-01,296300,1951
Texas,2017-08-01,186800,934
Virginia,2020-09-01,382400,9283
Idaho,2016-02-01,180700,20
Missouri,2014-03-01,79000,75
Minnesota,2014-08-01,191400,147
Kentucky,2020-10-01,219200,3378
Oklahoma,2015-12-01,147200,2936
Vermont,2014-09-01,189100,8
Georgia,2021-04-01,302800,1369
Arizona,2015-02-01,124300,479
Colorado,2019-10-01,426700,7223
Hawaii,2019-02-01,646500,460
Colorado,2021-02-01,546900,3936
Maryland,2015-05-01,334300,4144
Michigan,2021-03-01,196900,1370
Ohio,2015-06-01,147400,12549
Nevada,2014-11-01,137500,186
Columbia,2017-09-01,500000,647
Massachusetts,2022-05-01,553000,1438
Massachusetts,2019-05-01,388000,787
Columbia,2012-02-01,394900,459
Michigan,2020-12-01,201700,11753
Idaho,2015-06-01,220100,30
Rhode Island,2020-07-01,328100,1594
New Hampshire,2018-07-01,273700,2551
Utah,2012-05-01,181100,260
North Carolina,2013-09-01,152700,400
New Hampshire,2019-03-01,255000,70
North Carolina,2019-06-01,218700,894
Utah,2016-03-01,258300,50
Columbia,2013-02-01,433800,507
New Jersey,2018-04-01,260100,538
Kansas,2013-07-01,147700,69
Utah,2012-04-01,192500,2703
Indiana,2012-02-01,98700,118
Idaho,2019-01-01,246300,26
Minnesota,2019-02-01,194000,196
Ohio,2013-12-01,111400,8886
Iowa,2012-09-01,112500,7
Wisconsin,2019-04-01,197000,69
Idaho,2021-09-01,558500,26
Arizona,2019-09-01,315000,68
Washington,2013-04-01,277000,7143
Louisiana,2015-09-01,187500,164
Alabama,2021-09-01,177200,22
Hawaii,2021-01-01,481600,572
California,2020-04-01,580200,22166
Virginia,2012-06-01,317100,1463
New Mexico,2016-10-01,273500,6
Wisconsin,2016-06-01,154800,878
Kansas,2014-10-01,138500,80
New Jersey,2019-01-01,293000,7670
Oklahoma,2012-08-01,114200,20
Tennessee,2015-04-01,187400,5693
Utah,2013-11-01,194000,236
Hawaii,2016-05-01,550000,3
Connecticut,2012-10-01,195800,1446
Ohio,2016-02-01,126200,67
West Virginia,2014-11-01,159500,204
Michigan,2017-07-01,173600,11988
Rhode Island,2016-07-01,214700,172
Oregon,2021-02-01,432600,3971
Kentucky,2012-04-01,102100,18
North Carolina,2016-12-01,218800,8427
Maryland,2016-01-01,293300,2830
Utah,2017-12-01,246500,389
Indiana,2012-12-01,144400,41
Pennsylvania,2022-02-01,252700,7677
Maine,2013-03-01,88500,7
Kansas,2018-09-01,204400,1918
Michigan,2012-03-01,66300,74
Arkansas,2016-11-01,181200,20
Arkansas,2018-08-01,165100,37
New Jersey,2017-08-01,328000,10093
Maryland,2014-08-01,56600,8
New Hampshire,2016-10-01,246800,1656
Pennsylvania,2020-01-01,226500,4597
Florida,2022-03-01,447900,565
Kansas,2015-09-01,132300,76
Florida,2017-11-01,168500,5868
Texas,2016-02-01,209700,15654
Vermont,2012-03-01,191400,387
Tennessee,2017-03-01,214100,7020
Arizona,2016-01-01,209500,57
Utah,2012-08-01,147300,266
Idaho,2017-11-01,192600,49
Rhode Island,2014-11-01,241600,94
Massachusetts,2017-12-01,354100,606
Kentucky,2012-07-01,115300,236
Michigan,2018-05-01,103600,234
Michigan,2013-12-01,99100,864
Alabama,2019-03-01,317900,249
Maryland,2020-04-01,258400,1987
Idaho,2019-08-01,241800,59
Washington,2013-10-01,326100,92
Utah,2020-02-01,372800,2281
North Carolina,2015-09-01,170400,606
Vermont,2014-09-01,201300,641
Indiana,2016-02-01,136200,2977
Kansas,2017-03-01,154500,72
Michigan,2015-10-01,137700,9939
Kansas,2021-07-01,136100,35
Massachusetts,2016-01-01,342800,4847
Arkansas,2014-07-01,145900,2065
Georgia,2022-05-01,378700,13681
Pennsylvania,2020-01-01,153700,237
Oklahoma,2019-04-01,167600,3884
Illinois,2020-07-01,217800,1665
Florida,2015-09-01,168300,2475
Oregon,2017-02-01,310700,2966
Nevada,2014-06-01,193700,4213
Vermont,2021-09-01,275900,93
Illinois,2013-03-01,155500,6609
South Carolina,2017-12-01,279800,20
Wisconsin,2017-11-01,175100,6045
Columbia,2015-01-01,590000,195
Illinois,2012-05-01,167000,7238
Florida,2015-01-01,148700,260
Vermont,2016-09-01,213000,615
Hawaii,2018-09-01,815500,10
New Jersey,2012-11-01,287200,181
Nebraska,2022-03-01,265500,31
Florida,2015-11-01,193500,24006
Indiana,2015-04-01,51600,41
Washington,2022-03-01,695500,156
Alabama,2019-11-01,291500,10
Louisiana,2012-11-01,165000,1391
Maryland,2016-04-01,205100,2207
Minnesota,2020-07-01,285800,9819
Colorado,2013-07-01,210700,358
Texas,2021-01-01,280000,18882
Ohio,2015-10-01,118300,1136
Mississippi,2015-05-01,50000,7
Oregon,2017-04-01,276100,160
Oklahoma,2014-02-01,113100,18
Alaska,2020-11-01,208700,104
Rhode Island,2017-09-01,241700,210
Maine,2021-02-01,255100,1016
Idaho,2012-11-01,163000,33
Indiana,2015-08-01,157000,103
Washington,2013-01-01,260000,3690
Vermont,2013-08-01,224500,606
Nebraska,2022-04-01,189400,50
Indiana,2020-01-01,94800,63
Iowa,2016-10-01,185000,1013
Missouri,2014-10-01,140400,4577
Idaho,2021-08-01,462000,2505
Minnesota,2012-12-01,122200,207
Ohio,2018-06-01,97400,345
Hawaii,2020-08-01,320000,1
Colorado,2014-12-01,196100,837
Columbia,2022-03-01,940000,19
Kentucky,2022-01-01,172700,167
Kentucky,2013-06-01,117700,247
Wisconsin,2012-09-01,118500,1603
South Dakota,2018-05-01,220500,380
Alaska,2016-01-01,397100,31
Connecticut,2018-09-01,199300,258
Connecticut,2017-09-01,187200,774
New York,2013-03-01,100200,296
Georgia,2015-03-01,195500,8102
Texas,2021-09-01,371700,330
Maryland,2018-11-01,226100,2054
Arizona,2014-06-01,199100,9045
Indiana,2015-05-01,123600,332
Minnesota,2022-04-01,343600,6282
Nebraska,2015-09-01,157800,1548
New York,2020-05-01,608400,1399
Florida,2012-03-01,112400,1961
Delaware,2019-02-01,71200,6
Maine,2020-03-01,272000,117
California,2015-05-01,488300,26479
Tennessee,2013-10-01,133300,2751
New Mexico,2020-10-01,323400,18
Columbia,2020-04-01,964500,8
Connecticut,2019-09-01,221700,294
Indiana,2016-11-01,152000,4030
South Carolina,2021-04-01,290500,7120
Nebraska,2015-06-01,161100,142
Maryland,2012-12-01,303600,2823
New Jersey,2016-08-01,244200,530
Vermont,2017-07-01,222100,69
Idaho,2017-08-01,186500,80
Texas,2013-11-01,143700,170
Columbia,2018-06-01,930000,168
Iowa,2015-01-01,158000,554
Florida,2021-01-01,229100,7258
Oregon,2015-04-01,222000,382
Indiana,2022-02-01,241000,3615
Tennessee,2012-11-01,78500,15
Mississippi,2020-06-01,205700,1565
Missouri,2013-07-01,81100,63
Vermont,2019-08-01,258400,85
North Carolina,2017-08-01,226500,11982
Michigan,2016-05-01,157200,10126
Massachusetts,2022-04-01,589500,3365
Illinois,2015-02-01,160600,635
Tennessee,2013-08-01,119200,20
Louisiana,2020-04-01,220600,2570
Vermont,2012-02-01,183300,179
Colorado,2021-10-01,1366400,67
Texas,2013-07-01,215800,735
South Carolina,2019-05-01,259800,5203
North Carolina,2014-12-01,139500,21
Idaho,2018-11-01,272100,2138
Arizona,2015-11-01,141800,521
Nevada,2015-06-01,214800,4754
Oklahoma,2019-12-01,165900,23
Indiana,2012-09-01,127900,3154
Wisconsin,2019-07-01,210900,8290
Columbia,2018-05-01,592000,1023
Iowa,2019-07-01,208200,1569
Minnesota,2015-04-01,183000,124
Ohio,2020-09-01,192600,14930
Hawaii,2020-07-01,667900,691
Georgia,2017-05-01,219600,1006
Massachusetts,2021-12-01,480300,710
Illinois,2019-05-01,228500,3129
Nevada,2012-06-01,61000,457
Minnesota,2014-12-01,181800,108
Illinois,2013-12-01,170900,6934
Rhode Island,2014-06-01,164200,140
South Carolina,2015-07-01,134200,533
New Hampshire,2012-11-01,161600,45
Hawaii,2012-10-01,404000,1037
Georgia,2022-01-01,328400,9539
Vermont,2017-08-01,273100,58
Utah,2022-01-01,644500,329
Colorado,2021-05-01,545300,8225
New Jersey,2019-10-01,378100,644
Oregon,2017-07-01,335700,5876
Nebraska,2022-02-01,249900,953
Utah,2017-07-01,307500,3249
West Virginia,2022-05-01,153800,2
Connecticut,2022-04-01,353100,3842
Alaska,2018-03-01,199600,90
Pennsylvania,2012-10-01,185300,4905
Minnesota,2013-03-01,177100,3947
Colorado,2013-09-01,403400,62
South Carolina,2016-08-01,133600,22
Delaware,2021-08-01,169900,47
Kentucky,2017-01-01,114800,17
Colorado,2015-09-01,433300,88
New Mexico,2017-12-01,286500,3
Hawaii,2017-03-01,617700,670
Delaware,2019-08-01,251900,917
Colorado,2017-07-01,407400,5997
Minnesota,2012-03-01,153700,3882
Kansas,2021-02-01,245300,1484
Louisiana,2022-05-01,230600,255
Connecticut,2018-12-01,209600,260
New Hampshire,2018-10-01,263600,2144
Florida,2020-03-01,201500,7713
Indiana,2020-08-01,227300,5366
Virginia,2016-01-01,234200,580
South Dakota,2018-09-01,155000,5
Washington,2013-01-01,247600,61
North Carolina,2021-12-01,334500,13424
Massachusetts,2019-04-01,480800,445
Louisiana,2020-04-01,224600,2369
California,2021-04-01,747800,40085
Colorado,2021-12-01,358500,982
New Mexico,2016-11-01,207300,15
Ohio,2013-09-01,51800,217
Kentucky,2015-07-01,148500,34
Maine,2021-10-01,316200,2324
Illinois,2016-02-01,164700,314
Colorado,2014-05-01,186900,986
Florida,2018-02-01,236800,26854
South Carolina,2013-02-01,143600,106
New York,2014-01-01,219100,296
Kansas,2015-07-01,126500,83
New Hampshire,2012-05-01,203700,1191
South Dakota,2020-03-01,207700,35
Arkansas,2018-03-01,165000,33
Mississippi,2016-12-01,119000,18
Oregon,2012-06-01,217900,3696
Kansas,2020-04-01,150600,30
New Hampshire,2021-06-01,406100,1766
Louisiana,2016-12-01,184000,101
South Carolina,2021-09-01,323500,5208
Florida,2014-10-01,158600,2289
Nebraska,2015-08-01,138700,51
California,2012-09-01,401300,898
New York,2012-09-01,215900,5625
South Carolina,2012-08-01,149900,6
Louisiana,2017-12-01,111700,47
Wisconsin,2022-04-01,267900,72
New Mexico,2020-01-01,313300,24
Texas,2021-05-01,262000,1375
Florida,2013-03-01,113900,293
New Hampshire,2022-04-01,408300,1395
Arkansas,2016-04-01,96700,20
Rhode Island,2020-10-01,264300,259
Connecticut,2018-04-01,251400,3785
Oklahoma,2014-12-01,148300,2904
Nevada,2012-08-01,63900,445
Minnesota,2014-05-01,204700,5292
Kansas,2019-06-01,190000,108
Maine,2021-02-01,293700,101
Georgia,2021-08-01,246100,857
New Jersey,2016-05-01,292100,9787
Texas,2016-09-01,170900,934
Hawaii,2020-02-01,673400,519
Tennessee,2017-04-01,215700,6777
Oregon,2013-06-01,242400,4873
Columbia,2019-04-01,889500,116
Delaware,2021-12-01,162500,44
Ohio,2013-01-01,97500,587
South Dakota,2020-03-01,182500,5
Alabama,2018-10-01,257700,177
Columbia,2021-08-01,660000,901
Nebraska,2018-10-01,191000,1604
Missouri,2012-08-01,118700,1721
Maine,2017-06-01,213100,2105
Florida,2017-02-01,239300,17661
New Hampshire,2019-09-01,266000,89
Utah,2014-08-01,215800,337
Pennsylvania,2013-02-01,158200,5388
South Dakota,2020-01-01,212100,221
Oklahoma,2020-01-01,168900,2552
Alabama,2016-09-01,177400,3186
Minnesota,2015-10-01,190500,161
Oregon,2017-02-01,302200,3440
Connecticut,2017-08-01,263500,5108
Minnesota,2012-10-01,125600,289
South Carolina,2019-01-01,150400,440
Ohio,2014-12-01,119100,9390
Georgia,2021-03-01,296500,14965
Rhode Island,2019-03-01,269500,1058
Indiana,2019-05-01,198900,4866
Arizona,2012-06-01,92300,591
Indiana,2015-07-01,158700,5278
Columbia,2017-11-01,548000,759
Kansas,2019-09-01,142800,19
Maryland,2013-05-01,108600,12
Texas,2021-09-01,329000,28714
South Carolina,2012-05-01,122500,11
Tennessee,2021-01-01,201000,42
Oklahoma,2012-02-01,91800,35
Vermont,2012-10-01,195700,469
Rhode Island,2019-11-01,290800,192
Mississippi,2019-01-01,134900,14
Illinois,2013-02-01,131600,7599
Wisconsin,2019-03-01,197200,4177
Virginia,2015-09-01,309700,1625
Alabama,2015-11-01,207400,164
Wisconsin,2012-01-01,104400,945
Maryland,2013-12-01,168900,483
Florida,2021-08-01,372400,488
Minnesota,2013-05-01,189200,5865
South Dakota,2014-10-01,170200,344
Kentucky,2016-02-01,101200,42
Mississippi,2014-10-01,139100,920
Illinois,2012-04-01,147600,759
South Carolina,2020-04-01,160200,438
New Jersey,2015-03-01,242800,77
New York,2018-07-01,428800,13624
Washington,2012-12-01,165500,605
New Mexico,2016-09-01,241300,28
Maryland,2015-03-01,247500,5690
West Virginia,2012-03-01,133100,251
Oregon,2019-11-01,372600,4081
