state,year,median_sale_price,homes_sold
Alaska,2013-07-01,323200,25
Iowa,2017-05-01,154800,236
Idaho,2012-01-01,86400,13
Maryland,2016-10-01,211400,2044
South Dakota,2014-05-01,163200,430
Mississippi,2016-06-01,51000,5
Vermont,2019-04-01,224600,628
Massachusetts,2012-05-01,299400,6483
Maine,2015-11-01,143100,477
Kansas,2014-12-01,173100,1605
Kentucky,2021-07-01,246500,3528
Alabama,2019-12-01,181100,102
South Dakota,2014-04-01,158000,323
Columbia,2018-08-01,550000,897
Delaware,2012-08-01,135800,149
Maryland,2014-07-01,89500,11
Wisconsin,2016-06-01,178100,9367
New Jersey,2019-03-01,296900,6682
Columbia,2012-11-01,441000,646
Vermont,2018-11-01,238100,72
Georgia,2014-11-01,179400,7346
Missouri,2017-09-01,176200,4844
Vermont,2018-01-01,436300,8
Colorado,2013-09-01,289500,5194
Delaware,2015-10-01,102200,52
Florida,2016-10-01,152900,5762
Tennessee,2019-02-01,238000,4885
Vermont,2020-10-01,302800,122
California,2014-01-01,408900,882
Pennsylvania,2019-09-01,146800,255
Hawaii,2021-08-01,962400,3
Arkansas,2014-10-01,140700,1871
Virginia,2015-04-01,178000,36
Rhode Island,2013-05-01,140500,117
Tennessee,2018-04-01,159900,50
Nebraska,2013-03-01,111400,43
Texas,2021-12-01,382700,332
Tennessee,2016-08-01,212500,7058
Pennsylvania,2012-02-01,150600,4940
South Carolina,2012-07-01,225000,4
South Carolina,2019-05-01,243400,6353
Colorado,2017-04-01,574400,59
Mississippi,2013-12-01,129300,922
Massachusetts,2021-02-01,438300,864
Virginia,2018-03-01,241800,1060
Washington,2020-08-01,535200,132
Florida,2016-05-01,235400,23521
Oregon,2018-06-01,325100,265
Arizona,2017-03-01,148200,798
Hawaii,2014-02-01,520800,407
California,2017-08-01,539000,37442
Kentucky,2020-10-01,157500,298
Tennessee,2015-03-01,157800,166
California,2021-05-01,946100,1190
Alaska,2015-11-01,271400,399
Georgia,2020-03-01,255900,1067
Idaho,2016-01-01,167700,26
Pennsylvania,2021-11-01,232600,519
Illinois,2022-05-01,286700,16179
Nebraska,2014-05-01,145500,12
Indiana,2016-01-01,141900,43
Delaware,2022-05-01,195900,14
New Hampshire,2021-03-01,323300,91
North Carolina,2016-04-01,204700,9848
Washington,2017-12-01,397700,9255
Louisiana,2012-02-01,162200,1274
Minnesota,2016-02-01,183900,82
Michigan,2019-08-01,178600,1583
Arkansas,2013-06-01,108500,23
Kansas,2014-09-01,98800,25
Minnesota,2015-05-01,205200,7989
Nebraska,2019-02-01,190700,1063
South Carolina,2018-10-01,242700,4000
Massachusetts,2013-05-01,285000,632
Utah,2015-04-01,254100,3065
Iowa,2014-07-01,179900,1071
California,2020-11-01,657500,34986
Nevada,2016-11-01,110000,406
Alaska,2013-02-01,245000,285
Missouri,2013-08-01,131100,2197
Florida,2016-01-01,150000,4780
New York,2022-02-01,547900,10391
Colorado,2012-11-01,255700,4326
Mississippi,2015-09-01,152200,1120
Illinois,2016-06-01,221800,17979
Arizona,2015-07-01,173300,73
Oklahoma,2016-10-01,98800,14
Nevada,2021-10-01,227200,645
Louisiana,2012-04-01,170600,25
South Dakota,2012-07-01,120000,10
Ohio,2020-12-01,193600,108
New Hampshire,2012-12-01,162300,87
Utah,2019-02-01,269700,349
Idaho,2019-04-01,286600,2268
Texas,2017-10-01,220600,657
California,2015-11-01,514800,1067
Iowa,2019-09-01,206400,1264
Tennessee,2013-03-01,119900,2302
Utah,2015-09-01,199100,424
Washington,2013-10-01,186600,740
Colorado,2015-05-01,347600,6135
Columbia,2021-03-01,490000,480
Mississippi,2019-02-01,51000,2
Delaware,2019-09-01,238500,837
Maryland,2016-08-01,208200,2484
Texas,2017-11-01,236500,19989
Massachusetts,2022-02-01,596200,336
South Carolina,2018-08-01,233000,6142
Colorado,2020-12-01,368500,1144
Missouri,2014-06-01,87300,65
Ohio,2017-04-01,143800,11338
Minnesota,2016-06-01,176600,393
Georgia,2016-12-01,209400,10785
Missouri,2020-08-01,224200,6483
Maryland,2021-11-01,230500,679
Texas,2015-10-01,186700,181
Colorado,2017-05-01,417100,6433
Arizona,2014-07-01,113500,488
Maine,2019-07-01,236600,1782
South Dakota,2022-05-01,311800,423
Colorado,2019-02-01,578600,37
Missouri,2020-01-01,148000,224
Arizona,2017-11-01,162800,641
Mississippi,2021-09-01,227000,1507
Washington,2012-11-01,272500,5994
Mississippi,2019-11-01,172300,12
Wisconsin,2014-04-01,111300,88
Indiana,2017-09-01,132400,288
New York,2016-04-01,227300,321
Idaho,2016-05-01,234200,23
Ohio,2020-04-01,175600,10359
Nevada,2015-04-01,184300,43
Utah,2022-05-01,492100,525
West Virginia,2018-02-01,149100,57
Oregon,2020-03-01,385600,4136
Iowa,2016-10-01,156500,16
Alabama,2019-11-01,211800,2780
Kentucky,2020-04-01,199100,2705
South Carolina,2020-09-01,272300,6772
Rhode Island,2018-03-01,257900,1052
Massachusetts,2018-01-01,397500,3085
Ohio,2020-07-01,193500,15988
Columbia,2015-05-01,749900,111
New Mexico,2021-03-01,482400,222
Tennessee,2012-07-01,134400,1982
Hawaii,2017-01-01,626000,3
New Jersey,2017-03-01,271200,474
Oklahoma,2012-07-01,100900,46
Louisiana,2021-11-01,337700,124
Missouri,2014-01-01,120800,26
North Carolina,2017-08-01,149000,347
North Carolina,2022-01-01,331100,8468
Maryland,2017-07-01,187300,617
New York,2019-05-01,421100,11734
Alabama,2012-03-01,141600,250
Hawaii,2014-10-01,310400,679
Tennessee,2020-01-01,229800,210
Tennessee,2017-05-01,205000,331
Louisiana,2012-10-01,160200,1941
Minnesota,2019-04-01,268800,116
Nevada,2021-05-01,401100,4088
Tennessee,2017-02-01,208900,4656
Ohio,2014-04-01,118800,10041
Minnesota,2015-09-01,204200,7207
New Mexico,2016-09-01,435500,4
Oregon,2015-08-01,286100,5291
Rhode Island,2014-10-01,162300,140
Virginia,2013-11-01,154800,16
Pennsylvania,2015-04-01,100300,178
Nebraska,2015-08-01,163700,1455
Rhode Island,2018-02-01,255900,818
Georgia,2017-01-01,208200,569
Florida,2020-01-01,283700,320
Tennessee,2020-05-01,257500,279
Utah,2020-12-01,476900,3162
Tennessee,2014-03-01,169900,124
New Hampshire,2015-05-01,178000,174
Wisconsin,2019-02-01,188700,3235
Missouri,2020-11-01,171200,81
New York,2013-05-01,118600,328
Rhode Island,2012-07-01,195700,1001
Kentucky,2021-06-01,239900,4102
Mississippi,2013-10-01,105100,2
Massachusetts,2014-11-01,336800,3599
Missouri,2018-06-01,189500,6781
New Hampshire,2016-07-01,187000,176
Connecticut,2015-08-01,145200,106
Texas,2017-01-01,217200,13755
Wisconsin,2020-03-01,194300,545
Idaho,2019-03-01,303000,23
New Mexico,2017-11-01,367500,4
Delaware,2017-02-01,152800,146
California,2015-10-01,600900,1073
Washington,2014-12-01,309800,5872
Tennessee,2013-05-01,138800,2743
Missouri,2014-04-01,139200,3825
Ohio,2019-02-01,142900,767
Georgia,2020-12-01,273900,69
Virginia,2013-09-01,330400,1294
Pennsylvania,2020-08-01,251000,14324
South Carolina,2021-07-01,250200,540
Alaska,2021-07-01,358400,745
Vermont,2012-12-01,200500,359
New Jersey,2013-10-01,192300,612
Columbia,2019-04-01,725000,381
Virginia,2014-11-01,171600,28
Alabama,2015-10-01,162000,2327
New Jersey,2012-04-01,235500,424
Missouri,2021-09-01,171600,85
California,2016-07-01,423400,5143
Kansas,2020-10-01,188800,31
South Carolina,2012-11-01,144900,11
Indiana,2015-06-01,159000,5554
Columbia,2013-02-01,482600,197
New Mexico,2018-01-01,350800,151
Colorado,2021-09-01,471100,1037
Illinois,2014-01-01,149300,667
Texas,2012-02-01,151400,12569
New Hampshire,2020-07-01,259500,327
Michigan,2016-07-01,92000,133
Ohio,2020-05-01,158800,934
Virginia,2017-12-01,239900,40
Illinois,2012-07-01,149600,957
New Hampshire,2020-05-01,308700,1636
Florida,2012-02-01,121000,18871
Columbia,2018-04-01,589000,805
Massachusetts,2021-05-01,547500,7604
Massachusetts,2012-12-01,296500,954
Florida,2018-08-01,245200,36236
Florida,2014-09-01,197700,18463
Oregon,2014-01-01,209100,87
Delaware,2016-07-01,142500,8
Wisconsin,2021-06-01,268600,7745
Idaho,2016-09-01,215800,2208
Maryland,2018-05-01,237900,2722
Indiana,2020-03-01,176100,54
Pennsylvania,2012-11-01,176500,412
Louisiana,2014-08-01,179200,2650
Florida,2015-12-01,174000,2454
New York,2013-03-01,198600,4603
Arkansas,2016-08-01,156200,2410
Rhode Island,2022-05-01,352300,209
Indiana,2018-06-01,185700,5896
Michigan,2018-02-01,161000,7975
Rhode Island,2015-03-01,207200,832
Kentucky,2019-10-01,195600,2911
Georgia,2021-05-01,331000,12269
Wisconsin,2016-09-01,171100,7277
West Virginia,2020-12-01,192900,51
Colorado,2019-06-01,434500,8070
Maine,2021-08-01,316800,173
New Jersey,2019-12-01,286900,1100
Indiana,2012-07-01,120200,201
Utah,2021-05-01,458500,4023
Virginia,2019-10-01,330400,7429
Florida,2017-09-01,164500,5329
Missouri,2021-09-01,181900,153
Alaska,2015-02-01,257300,407
Columbia,2017-08-01,411000,366
Ohio,2014-01-01,103200,5777
Maryland,2015-12-01,312300,4090
Maine,2020-07-01,256400,2262
Mississippi,2017-04-01,160900,1087
Alabama,2012-10-01,154100,231
New Hampshire,2013-03-01,168200,41
Pennsylvania,2020-06-01,168500,170
Wisconsin,2016-05-01,126700,317
South Carolina,2020-02-01,242900,4370
Tennessee,2018-07-01,246200,7556
Washington,2018-10-01,334200,870
Columbia,2019-06-01,834500,18
Alaska,2012-08-01,257500,712
Wisconsin,2012-12-01,103000,5
Kentucky,2012-05-01,125800,30
New Mexico,2016-06-01,321800,262
Delaware,2014-07-01,112000,41
New Mexico,2018-03-01,352600,247
Georgia,2018-02-01,195700,559
Maine,2019-05-01,228400,77
Nevada,2013-04-01,140700,44
Louisiana,2013-10-01,169000,1926
New Hampshire,2016-07-01,255800,1841
New Jersey,2018-07-01,337400,9652
West Virginia,2021-02-01,239900,318
Hawaii,2021-10-01,689700,1588
South Dakota,2021-08-01,285500,439
Vermont,2017-08-01,194600,26
Louisiana,2018-03-01,175400,42
North Carolina,2018-10-01,169800,238
Arkansas,2015-03-01,101900,10
Maryland,2013-12-01,113600,18
Massachusetts,2012-11-01,300000,4106
Utah,2019-06-01,255700,395
Texas,2017-05-01,246100,26058
Nevada,2017-08-01,183000,297
Maine,2016-09-01,194900,1880
Nevada,2019-04-01,162900,580
New Jersey,2017-05-01,275700,554
Illinois,2018-12-01,203500,6702
Florida,2020-09-01,293100,39222
New Mexico,2014-11-01,293000,176
Massachusetts,2014-05-01,341800,6725
Kentucky,2016-08-01,119600,53
Kentucky,2014-04-01,139400,2497
Delaware,2020-03-01,238500,813
Virginia,2018-07-01,251000,1229
New York,2015-01-01,241700,307
Utah,2018-01-01,253600,361
Nevada,2013-12-01,178800,3759
Kansas,2019-12-01,141800,18
North Carolina,2015-09-01,169200,33
Texas,2018-05-01,262000,249
New Mexico,2017-10-01,308300,9
Missouri,2012-07-01,130400,42
Idaho,2017-12-01,195000,35
Nebraska,2021-10-01,255600,108
Washington,2018-12-01,404600,123
Kansas,2017-11-01,168400,88
Kentucky,2016-12-01,127100,204
Ohio,2012-07-01,111600,965
Vermont,2015-01-01,11000,1
Arizona,2015-06-01,124500,757
Kentucky,2020-01-01,136800,44
Washington,2013-09-01,291200,97
Alaska,2019-12-01,294700,457
Virginia,2016-08-01,305500,11373
West Virginia,2015-09-01,176100,313
Oregon,2012-05-01,191000,150
Virginia,2018-05-01,252500,1309
Kansas,2018-11-01,184500,67
Missouri,2022-05-01,253300,6480
Arkansas,2016-11-01,154300,2053
Arkansas,2020-01-01,157000,23
South Dakota,2016-12-01,97500,4
Virginia,2017-05-01,339100,2209
New Hampshire,2015-04-01,224400,1057
New Mexico,2018-08-01,369000,313
Connecticut,2017-05-01,256100,4576
Alabama,2015-01-01,229900,109
New York,2015-12-01,120800,441
Connecticut,2018-04-01,178600,737
Texas,2014-01-01,139900,626
Utah,2012-11-01,201800,207
Minnesota,2019-05-01,264800,8202
Georgia,2013-01-01,64500,35
Hawaii,2020-03-01,672700,652
Florida,2021-12-01,280900,9414
South Carolina,2020-08-01,389200,14
Texas,2015-03-01,204500,20969
Utah,2014-10-01,235100,3469
Illinois,2021-04-01,273000,16427
Michigan,2017-01-01,84200,138
Connecticut,2012-06-01,123100,80
Massachusetts,2015-04-01,335300,3125
Florida,2012-06-01,160800,16294
Hawaii,2015-10-01,362200,601
Iowa,2012-03-01,137100,721
North Carolina,2016-02-01,139000,204
Hawaii,2022-02-01,555100,725
Nebraska,2021-06-01,259500,1959
Kentucky,2014-09-01,155300,41
Nevada,2022-03-01,334100,435
New Jersey,2018-03-01,281600,1195
Columbia,2013-03-01,370000,253
Ohio,2019-02-01,154400,6966
Oklahoma,2014-04-01,126400,38
Utah,2013-05-01,224000,54
Utah,2012-10-01,215300,2401
Idaho,2016-09-01,264900,40
Kentucky,2016-02-01,140400,2217
Kentucky,2016-01-01,149800,1821
Oregon,2019-04-01,328800,237
Hawaii,2021-12-01,1000000,5
Colorado,2013-08-01,348300,54
Illinois,2021-04-01,269400,3656
Tennessee,2022-03-01,367800,8139
Texas,2016-02-01,207300,17024
Oregon,2021-03-01,391000,263
Pennsylvania,2017-10-01,127200,270
Mississippi,2017-10-01,168300,1186
Nevada,2021-08-01,302100,443
Alabama,2014-09-01,130500,84
Illinois,2013-10-01,154500,2380
Rhode Island,2019-10-01,284100,184
Tennessee,2020-07-01,293000,8848
New Mexico,2020-03-01,308300,16
Florida,2020-04-01,301900,209
Tennessee,2015-05-01,197200,6869
Colorado,2016-04-01,337800,420
