year,state,median_sale_price,homes_sold
2017-06-01,Colorado,397200,8642
2017-12-01,Indiana,161600,89
2013-05-01,Iowa,131300,165
2012-11-01,Illinois,118500,1904
2014-09-01,Pennsylvania,177800,9026
2013-12-01,Connecticut,206800,1251
2020-07-01,Tennessee,231000,402
2018-03-01,Idaho,203000,43
2018-10-01,Arkansas,164800,2246
2022-02-01,Oklahoma,161700,23
2019-09-01,New Hampshire,283300,2206
2013-11-01,Kentucky,140200,2276
2018-04-01,West Virginia,192500,296
2015-09-01,Pennsylvania,151700,2297
2015-11-01,Indiana,43000,42
2018-09-01,Idaho,283600,21
2017-08-01,New Mexico,271300,13
2019-11-01,Mississippi,180400,1015
2013-06-01,Washington,288800,8083
2015-01-01,Maine,116200,284
2016-02-01,Pennsylvania,200500,303
2016-11-01,Georgia,205900,9976
2016-04-01,Oregon,303700,113
2021-05-01,Massachusetts,532100,1705
2013-07-01,Wisconsin,141000,9
2014-01-01,Hawaii,561300,426
2020-08-01,Maryland,274700,2920
2021-03-01,Georgia,242800,949
2012-11-01,Nevada,140300,4185
2016-08-01,Mississippi,64900,5
2017-06-01,Michigan,173800,14135
2016-03-01,Kentucky,131800,34
2014-10-01,Indiana,143700,3747
2015-02-01,Ohio,93000,41
2021-03-01,Maine,293100,77
2019-01-01,Colorado,413300,245
2012-11-01,Florida,123600,1882
2022-02-01,Tennessee,301100,46
2021-02-01,Illinois,226800,945
2018-05-01,Georgia,208500,827
2019-07-01,Idaho,303200,2852
2016-12-01,Tennessee,179300,183
2021-10-01,Alaska,219400,122
2021-10-01,Ohio,214900,12867
2016-05-01,Maryland,219200,2508
2021-10-01,Illinois,334300,629
2018-10-01,Michigan,174000,1694
2013-07-01,Alaska,323200,25
2017-05-01,Iowa,154800,236
2012-01-01,Idaho,86400,13
2016-10-01,Maryland,211400,2044
2014-05-01,South Dakota,163200,430
2016-06-01,Mississippi,51000,5
2019-04-01,Vermont,224600,628
2012-05-01,Massachusetts,299400,6483
2015-11-01,Maine,143100,477
2014-12-01,Kansas,173100,1605
2021-07-01,Kentucky,246500,3528
2019-12-01,Alabama,181100,102
2014-04-01,South Dakota,158000,323
2018-08-01,Columbia,550000,897
2012-08-01,Delaware,135800,149
2014-07-01,Maryland,89500,11
2016-06-01,Wisconsin,178100,9367
2019-03-01,New Jersey,296900,6682
2012-11-01,Columbia,441000,646
2018-11-01,Vermont,238100,72
2014-11-01,Georgia,179400,7346
2017-09-01,Missouri,176200,4844
2018-01-01,Vermont,436300,8
2013-09-01,Colorado,289500,5194
2015-10-01,Delaware,102200,52
2016-10-01,Florida,152900,5762
2019-02-01,Tennessee,238000,4885
2020-10-01,Vermont,302800,122
2014-01-01,California,408900,882
2019-09-01,Pennsylvania,146800,255
2021-08-01,Hawaii,962400,3
2014-10-01,Arkansas,140700,1871
2015-04-01,Virginia,178000,36
2013-05-01,Rhode Island,140500,117
2018-04-01,Tennessee,159900,50
2013-03-01,Nebraska,111400,43
2021-12-01,Texas,382700,332
2016-08-01,Tennessee,212500,7058
2012-02-01,Pennsylvania,150600,4940
2012-07-01,South Carolina,225000,4
2019-05-01,South Carolina,243400,6353
2017-04-01,Colorado,574400,59
2013-12-01,Mississippi,129300,922
2021-02-01,Massachusetts,438300,864
2018-03-01,Virginia,241800,1060
2020-08-01,Washington,535200,132
2016-05-01,Florida,235400,23521
2018-06-01,Oregon,325100,265
2017-03-01,Arizona,148200,798
2014-02-01,Hawaii,520800,407
2017-08-01,California,539000,37442
2020-10-01,Kentucky,157500,298
2015-03-01,Tennessee,157800,166
2021-05-01,California,946100,1190
2015-11-01,Alaska,271400,399
2020-03-01,Georgia,255900,1067
2016-01-01,Idaho,167700,26
2021-11-01,Pennsylvania,232600,519
2022-05-01,Illinois,286700,16179
2014-05-01,Nebraska,145500,12
2016-01-01,Indiana,141900,43
2022-05-01,Delaware,195900,14
2021-03-01,New Hampshire,323300,91
2016-04-01,North Carolina,204700,9848
2017-12-01,Washington,397700,9255
2012-02-01,Louisiana,162200,1274
2016-02-01,Minnesota,183900,82
2019-08-01,Michigan,178600,1583
2013-06-01,Arkansas,108500,23
2014-09-01,Kansas,98800,25
2015-05-01,Minnesota,205200,7989
2019-02-01,Nebraska,190700,1063
2018-10-01,South Carolina,242700,4000
2013-05-01,Massachusetts,285000,632
2015-04-01,Utah,254100,3065
2014-07-01,Iowa,179900,1071
2020-11-01,California,657500,34986
2016-11-01,Nevada,110000,406
2013-02-01,Alaska,245000,285
2013-08-01,Missouri,131100,2197
2016-01-01,Florida,150000,4780
2022-02-01,New York,547900,10391
2012-11-01,Colorado,255700,4326
2015-09-01,Mississippi,152200,1120
2016-06-01,Illinois,221800,17979
2015-07-01,Arizona,173300,73
2016-10-01,Oklahoma,98800,14
2021-10-01,Nevada,227200,645
2012-04-01,Louisiana,170600,25
2012-07-01,South Dakota,120000,10
2020-12-01,Ohio,193600,108
2012-12-01,New Hampshire,162300,87
2019-02-01,Utah,269700,349
2019-04-01,Idaho,286600,2268
2017-10-01,Texas,220600,657
2015-11-01,California,514800,1067
2019-09-01,Iowa,206400,1264
2013-03-01,Tennessee,119900,2302
2015-09-01,Utah,199100,424
2013-10-01,Washington,186600,740
2015-05-01,Colorado,347600,6135
2021-03-01,Columbia,490000,480
2019-02-01,Mississippi,51000,2
2019-09-01,Delaware,238500,837
2016-08-01,Maryland,208200,2484
2017-11-01,Texas,236500,19989
2022-02-01,Massachusetts,596200,336
2018-08-01,South Carolina,233000,6142
2020-12-01,Colorado,368500,1144
2014-06-01,Missouri,87300,65
2017-04-01,Ohio,143800,11338
2016-06-01,Minnesota,176600,393
2016-12-01,Georgia,209400,10785
2020-08-01,Missouri,224200,6483
2021-11-01,Maryland,230500,679
2015-10-01,Texas,186700,181
2017-05-01,Colorado,417100,6433
2014-07-01,Arizona,113500,488
2019-07-01,Maine,236600,1782
2022-05-01,South Dakota,311800,423
2019-02-01,Colorado,578600,37
2020-01-01,Missouri,148000,224
2017-11-01,Arizona,162800,641
2021-09-01,Mississippi,227000,1507
2012-11-01,Washington,272500,5994
2019-11-01,Mississippi,172300,12
2014-04-01,Wisconsin,111300,88
2017-09-01,Indiana,132400,288
2016-04-01,New York,227300,321
2016-05-01,Idaho,234200,23
2020-04-01,Ohio,175600,10359
2015-04-01,Nevada,184300,43
2022-05-01,Utah,492100,525
2018-02-01,West Virginia,149100,57
2020-03-01,Oregon,385600,4136
2016-10-01,Iowa,156500,16
2019-11-01,Alabama,211800,2780
2020-04-01,Kentucky,199100,2705
2020-09-01,South Carolina,272300,6772
2018-03-01,Rhode Island,257900,1052
2018-01-01,Massachusetts,397500,3085
2020-07-01,Ohio,193500,15988
2015-05-01,Columbia,749900,111
2021-03-01,New Mexico,482400,222
2012-07-01,Tennessee,134400,1982
2017-01-01,Hawaii,626000,3
2017-03-01,New Jersey,271200,474
2012-07-01,Oklahoma,100900,46
2021-11-01,Louisiana,337700,124
2014-01-01,Missouri,120800,26
2017-08-01,North Carolina,149000,347
2022-01-01,North Carolina,331100,8468
2017-07-01,Maryland,187300,617
2019-05-01,New York,421100,11734
2012-03-01,Alabama,141600,250
2014-10-01,Hawaii,310400,679
2020-01-01,Tennessee,229800,210
2017-05-01,Tennessee,205000,331
2012-10-01,Louisiana,160200,1941
2019-04-01,Minnesota,268800,116
