period_begin,period_end,state,property_type,median_sale_price,homes_sold
2012-07-01,2012-07-31,Iowa,Condo/Co-op,119800,121
2013-10-01,2013-10-31,Ohio,All Residential,114100,10498
2015-05-01,2015-05-31,Kentucky,Single Family Residential,163400,2739
2020-10-01,2020-10-31,Louisiana,Townhouse,169100,50
2012-08-01,2012-08-31,Kansas,Single Family Residential,168200,1851
2017-11-01,2017-11-30,New Jersey,Single Family Residential,296400,7349
2013-09-01,2013-09-30,Louisiana,Single Family Residential,167400,2072
2016-06-01,2016-06-30,Alabama,All Residential,183700,3586
2021-07-01,2021-07-31,Virginia,All Residential,400900,15227
2014-04-01,2014-04-30,Pennsylvania,Condo/Co-op,187100,529
2014-12-01,2014-12-31,Oklahoma,Townhouse,190600,19
2016-03-01,2016-03-31,Alaska,Condo/Co-op,188500,83
2020-05-01,2020-05-31,Utah,Multi-Family (2-4 Unit),457200,32
2022-01-01,2022-01-31,West Virginia,Single Family Residential,294600,288
2016-08-01,2016-08-31,California,Townhouse,535100,1536
2018-11-01,2018-11-30,Indiana,All Residential,179900,4214
2013-12-01,2013-12-31,West Virginia,Single Family Residential,167000,231
2016-02-01,2016-02-29,Rhode Island,Condo/Co-op,222800,109
2018-02-01,2018-02-28,Indiana,Single Family Residential,169700,2806
2019-11-01,2019-11-30,Ohio,Single Family Residential,167100,9619
2018-11-01,2018-11-30,Connecticut,Multi-Family (2-4 Unit),182400,257
2017-01-01,2017-01-31,Mississippi,Single Family Residential,149600,679
2018-01-01,2018-01-31,Georgia,Single Family Residential,214600,6826
2012-06-01,2012-06-30,Utah,All Residential,195100,3002
2014-01-01,2014-01-31,North Carolina,Condo/Co-op,114300,112
2021-03-01,2021-03-31,Texas,Condo/Co-op,251900,1327
2020-06-01,2020-06-30,Virginia,Townhouse,363400,2304
2021-06-01,2021-06-30,Arizona,Townhouse,296200,1101
2018-07-01,2018-07-31,New Jersey,Multi-Family (2-4 Unit),335900,702
2019-09-01,2019-09-30,Louisiana,All Residential,210800,2676
2016-06-01,2016-06-30,Arkansas,Multi-Family (2-4 Unit),147600,26
2019-10-01,2019-10-31,Massachusetts,Single Family Residential,412000,5036
2015-02-01,2015-02-28,Indiana,Multi-Family (2-4 Unit),60300,48
2022-03-01,2022-03-31,Maryland,Multi-Family (2-4 Unit),224900,47
2015-08-01,2015-08-31,Hawaii,Multi-Family (2-4 Unit),1500000,1
2017-04-01,2017-04-30,Georgia,Townhouse,211600,912
2019-12-01,2019-12-31,Delaware,Multi-Family (2-4 Unit),144000,10
2015-09-01,2015-09-30,Tennessee,Single Family Residential,194400,6351
2013-12-01,2013-12-31,New York,Condo/Co-op,240500,351
2015-01-01,2015-01-31,Missouri,All Residential,126700,2803
2015-01-01,2015-01-31,Hawaii,All Residential,480600,905
2017-02-01,2017-02-28,Nebraska,Single Family Residential,165000,808
2012-07-01,2012-07-31,Pennsylvania,All Residential,184000,8648
2018-05-01,2018-05-31,Missouri,Single Family Residential,192200,6003
2019-04-01,2019-04-30,Minnesota,Single Family Residential,272200,4394
2017-05-01,2017-05-31,New Mexico,Condo/Co-op,219000,42
2017-09-01,2017-09-30,West Virginia,Single Family Residential,194500,351
2017-09-01,2017-09-30,Kentucky,Townhouse,127700,37
2015-08-01,2015-08-31,Texas,Multi-Family (2-4 Unit),190500,181
2014-03-01,2014-03-31,Maryland,All Residential,249500,4526
2015-08-01,2015-08-31,Minnesota,Condo/Co-op,159000,325
2020-08-01,2020-08-31,Idaho,Condo/Co-op,341400,76
2020-08-01,2020-08-31,Utah,Single Family Residential,435900,3882
2014-05-01,2014-05-31,Minnesota,Condo/Co-op,194900,353
2013-01-01,2013-01-31,Kansas,Townhouse,100000,31
2015-01-01,2015-01-31,Utah,Townhouse,188400,231
2013-12-01,2013-12-31,Delaware,All Residential,188100,610
2014-05-01,2014-05-31,Washington,Condo/Co-op,210200,868
2019-08-01,2019-08-31,Colorado,All Residential,426800,8003
2014-04-01,2014-04-30,Virginia,Townhouse,340700,1353
2019-12-01,2019-12-31,Oklahoma,All Residential,173700,3236
2019-11-01,2019-11-30,Virginia,Single Family Residential,327700,6487
2018-09-01,2018-09-30,Maine,Townhouse,183500,1
2021-06-01,2021-06-30,Minnesota,Multi-Family (2-4 Unit),355200,213
2013-03-01,2013-03-31,Kentucky,All Residential,137500,2325
2014-11-01,2014-11-30,Illinois,Condo/Co-op,162800,1709
2021-01-01,2021-01-31,Minnesota,Multi-Family (2-4 Unit),312600,95
2016-08-01,2016-08-31,West Virginia,Townhouse,139700,45
2012-09-01,2012-09-30,Iowa,Townhouse,229000,2
2013-12-01,2013-12-31,Louisiana,Multi-Family (2-4 Unit),148300,91
2021-08-01,2021-08-31,South Carolina,Townhouse,250300,488
2016-01-01,2016-01-31,Mississippi,Multi-Family (2-4 Unit),30100,4
2019-06-01,2019-06-30,New Jersey,Townhouse,250600,739
2013-02-01,2013-02-28,New York,Multi-Family (2-4 Unit),109000,212
2022-05-01,2022-05-31,Massachusetts,All Residential,604900,6950
2012-02-01,2012-02-29,Minnesota,Single Family Residential,144300,3027
2016-01-01,2016-01-31,Oklahoma,All Residential,147500,2196
2012-01-01,2012-01-31,Kansas,Condo/Co-op,88100,8
2017-02-01,2017-02-28,Vermont,Condo/Co-op,271300,38
2019-07-01,2019-07-31,Alaska,All Residential,290300,803
2016-01-01,2016-01-31,Michigan,Single Family Residential,127300,6584
2019-03-01,2019-03-31,Arizona,All Residential,266600,10471
2018-06-01,2018-06-30,North Carolina,Multi-Family (2-4 Unit),237400,29
2017-09-01,2017-09-30,Indiana,Single Family Residential,170200,4346
2018-02-01,2018-02-28,California,Townhouse,593100,877
2019-06-01,2019-06-30,West Virginia,Multi-Family (2-4 Unit),138000,1
2021-08-01,2021-08-31,Wisconsin,All Residential,254400,8531
2019-04-01,2019-04-30,Utah,Multi-Family (2-4 Unit),399800,44
2018-12-01,2018-12-31,Wisconsin,Townhouse,199100,43
2020-01-01,2020-01-31,New Hampshire,Multi-Family (2-4 Unit),313400,53
2016-10-01,2016-10-31,Arizona,All Residential,226700,8799
2015-05-01,2015-05-31,West Virginia,Single Family Residential,186300,251
2014-03-01,2014-03-31,Ohio,Townhouse,129300,56
2019-10-01,2019-10-31,New Jersey,Condo/Co-op,302900,1185
2020-03-01,2020-03-31,Delaware,Single Family Residential,264700,553
2015-08-01,2015-08-31,North Carolina,Townhouse,159800,609
2015-05-01,2015-05-31,South Dakota,All Residential,180000,500
2012-11-01,2012-11-30,Maryland,Townhouse,177700,1434
2012-08-01,2012-08-31,Alaska,Single Family Residential,269800,583
2021-09-01,2021-09-30,Maryland,Single Family Residential,444800,5149
2016-02-01,2016-02-29,Washington,Townhouse,380500,363
2016-11-01,2016-11-30,Nebraska,Townhouse,183700,99
2016-10-01,2016-10-31,California,Single Family Residential,516400,24342
2018-02-01,2018-02-28,Mississippi,Single Family Residential,173200,796
2016-08-01,2016-08-31,Rhode Island,All Residential,247800,1476
2015-06-01,2015-06-30,Columbia,Townhouse,660000,361
2020-12-01,2020-12-31,North Carolina,Condo/Co-op,220500,607
2012-02-01,2012-02-29,Rhode Island,Single Family Residential,186200,434
2012-07-01,2012-07-31,North Carolina,Single Family Residential,201800,2446
2016-03-01,2016-03-31,Louisiana,Multi-Family (2-4 Unit),253900,123
2019-03-01,2019-03-31,South Dakota,All Residential,199800,262
2012-02-01,2012-02-29,Nevada,Townhouse,75000,243
2015-08-01,2015-08-31,Alabama,All Residential,170700,2963
2019-08-01,2019-08-31,Nebraska,Condo/Co-op,161300,46
2016-01-01,2016-01-31,South Carolina,Multi-Family (2-4 Unit),127900,11
2014-02-01,2014-02-28,Virginia,All Residential,285700,4126
2014-06-01,2014-06-30,Oklahoma,Multi-Family (2-4 Unit),128200,26
2017-03-01,2017-03-31,Oklahoma,All Residential,153800,3598
2013-04-01,2013-04-30,Nevada,Condo/Co-op,77700,469
2020-07-01,2020-07-31,Mississippi,All Residential,206800,1764
2016-08-01,2016-08-31,Mississippi,Townhouse,143600,23
2018-11-01,2018-11-30,Indiana,Single Family Residential,183800,3816
2017-11-01,2017-11-30,North Carolina,Single Family Residential,232100,8504
2017-04-01,2017-04-30,South Dakota,Townhouse,192600,30
2013-01-01,2013-01-31,Utah,Townhouse,163600,184
2017-07-01,2017-07-31,Kentucky,Townhouse,158200,54
2015-12-01,2015-12-31,Delaware,All Residential,207300,669
2017-12-01,2017-12-31,Delaware,Single Family Residential,238800,600
2015-09-01,2015-09-30,New Mexico,All Residential,305800,248
2012-08-01,2012-08-31,Florida,Condo/Co-op,104000,5962
2019-05-01,2019-05-31,Maryland,Multi-Family (2-4 Unit),148300,24
2022-05-01,2022-05-31,New Jersey,Townhouse,352800,647
2014-10-01,2014-10-31,Massachusetts,All Residential,329600,6575
2015-11-01,2015-11-30,South Carolina,All Residential,206000,3183
2014-05-01,2014-05-31,Nebraska,Townhouse,159300,122
2018-06-01,2018-06-30,Arizona,Townhouse,196600,974
2014-03-01,2014-03-31,Florida,Multi-Family (2-4 Unit),127800,270
2018-10-01,2018-10-31,Nevada,Single Family Residential,312100,3510
2013-11-01,2013-11-30,South Carolina,Single Family Residential,185300,2072
2021-09-01,2021-09-30,West Virginia,Single Family Residential,281000,426
2021-04-01,2021-04-30,New Hampshire,All Residential,358800,1722
2015-10-01,2015-10-31,Tennessee,Townhouse,152000,64
2014-07-01,2014-07-31,Indiana,Single Family Residential,157000,4220
2021-08-01,2021-08-31,Oklahoma,All Residential,218900,5061
2015-05-01,2015-05-31,Rhode Island,All Residential,229000,1080
2018-12-01,2018-12-31,Maryland,Townhouse,231900,2057
2022-04-01,2022-04-30,Oklahoma,Townhouse,203800,36
2019-05-01,2019-05-31,Louisiana,Condo/Co-op,197300,201
2016-11-01,2016-11-30,Louisiana,Condo/Co-op,158700,128
2016-07-01,2016-07-31,Mississippi,Single Family Residential,157700,1291
2014-10-01,2014-10-31,Kansas,Single Family Residential,168400,1730
2017-02-01,2017-02-28,Oklahoma,Townhouse,115000,27
2012-04-01,2012-04-30,Utah,Single Family Residential,207200,2221
2019-10-01,2019-10-31,Michigan,Multi-Family (2-4 Unit),126900,187
2017-02-01,2017-02-28,Indiana,Multi-Family (2-4 Unit),57800,59
2015-06-01,2015-06-30,Oregon,All Residential,281400,6575
2012-11-01,2012-11-30,New York,Multi-Family (2-4 Unit),106200,263
2021-09-01,2021-09-30,Utah,Single Family Residential,533300,3260
2016-06-01,2016-06-30,Arizona,Townhouse,162700,889
2014-05-01,2014-05-31,Columbia,Multi-Family (2-4 Unit),376000,15
2019-03-01,2019-03-31,Connecticut,Single Family Residential,265500,2346
2020-11-01,2020-11-30,Oklahoma,Condo/Co-op,90600,70
2017-05-01,2017-05-31,Rhode Island,Condo/Co-op,217300,198
2018-06-01,2018-06-30,Iowa,Single Family Residential,211100,1420
2012-12-01,2012-12-31,Alabama,Single Family Residential,170500,575
2014-01-01,2014-01-31,Iowa,All Residential,145700,597
2022-02-01,2022-02-28,Idaho,Townhouse,410000,56
2014-03-01,2014-03-31,Hawaii,All Residential,444500,1056
2012-01-01,2012-01-31,Oklahoma,Condo/Co-op,79300,28
2016-12-01,2016-12-31,New Hampshire,Townhouse,203500,136
2017-11-01,2017-11-30,Nebraska,Single Family Residential,179200,1233
2019-04-01,2019-04-30,South Carolina,Single Family Residential,250900,4508
2012-01-01,2012-01-31,New Hampshire,Multi-Family (2-4 Unit),134200,28
2019-10-01,2019-10-31,Ohio,Multi-Family (2-4 Unit),104800,386
2012-11-01,2012-11-30,New Jersey,Single Family Residential,261000,2249
2020-05-01,2020-05-31,Washington,Condo/Co-op,358300,590
2021-04-01,2021-04-30,Massachusetts,Multi-Family (2-4 Unit),589600,494
2021-06-01,2021-06-30,Vermont,Condo/Co-op,291000,85
2016-09-01,2016-09-30,Florida,Condo/Co-op,150300,6479
2018-08-01,2018-08-31,Texas,Condo/Co-op,183600,1053
2021-12-01,2021-12-31,Virginia,Condo/Co-op,287600,1275
2018-11-01,2018-11-30,Vermont,Single Family Residential,224400,622
2016-04-01,2016-04-30,Delaware,All Residential,207200,699
2012-04-01,2012-04-30,New Hampshire,Townhouse,139800,122
2012-08-01,2012-08-31,Nebraska,Townhouse,143200,117
2019-12-01,2019-12-31,Michigan,Multi-Family (2-4 Unit),113900,152
2015-01-01,2015-01-31,Rhode Island,Single Family Residential,214700,558
2021-04-01,2021-04-30,Connecticut,Single Family Residential,381500,3286
2014-09-01,2014-09-30,Illinois,All Residential,178700,12371
2018-06-01,2018-06-30,Colorado,Multi-Family (2-4 Unit),596700,60
2022-01-01,2022-01-31,Washington,Condo/Co-op,406500,613
2016-05-01,2016-05-31,Mississippi,All Residential,159500,1254
2016-10-01,2016-10-31,Nevada,All Residential,233400,4150
2014-07-01,2014-07-31,New York,Single Family Residential,226600,6753
2017-02-01,2017-02-28,Missouri,Townhouse,116400,28
2015-02-01,2015-02-28,Minnesota,All Residential,186200,3597
2021-07-01,2021-07-31,Delaware,Multi-Family (2-4 Unit),205000,9
2020-02-01,2020-02-29,Illinois,Multi-Family (2-4 Unit),240800,361
2015-07-01,2015-07-31,Oklahoma,All Residential,155900,4025
2015-01-01,2015-01-31,New York,Townhouse,174900,96
2013-02-01,2013-02-28,Delaware,Multi-Family (2-4 Unit),40500,2
2013-01-01,2013-01-31,Iowa,Condo/Co-op,124900,98
2012-01-01,2012-01-31,Wisconsin,Condo/Co-op,136200,49
2018-06-01,2018-06-30,Nevada,Townhouse,201000,375
2015-03-01,2015-03-31,Arizona,All Residential,203300,9502
2013-01-01,2013-01-31,California,Townhouse,355100,720
2019-05-01,2019-05-31,Florida,Condo/Co-op,187400,8793
2020-03-01,2020-03-31,Pennsylvania,Multi-Family (2-4 Unit),155500,262
2021-07-01,2021-07-31,Maryland,Townhouse,306000,3241
2012-09-01,2012-09-30,Minnesota,Multi-Family (2-4 Unit),127600,102
2019-12-01,2019-12-31,Illinois,Multi-Family (2-4 Unit),253700,477
2021-03-01,2021-03-31,Kentucky,Multi-Family (2-4 Unit),173800,38
2013-06-01,2013-06-30,Tennessee,Multi-Family (2-4 Unit),39900,11
2018-03-01,2018-03-31,New Hampshire,Condo/Co-op,175000,200
2013-04-01,2013-04-30,Nevada,Townhouse,102000,263
2016-03-01,2016-03-31,Tennessee,Townhouse,178500,70
2015-02-01,2015-02-28,New Hampshire,Single Family Residential,219700,639
2020-07-01,2020-07-31,South Carolina,Multi-Family (2-4 Unit),338000,27
2019-12-01,2019-12-31,Michigan,Townhouse,70000,3
2012-12-01,2012-12-31,South Dakota,Single Family Residential,152800,246
2015-01-01,2015-01-31,Louisiana,Single Family Residential,174000,1510
2012-11-01,2012-11-30,Texas,Single Family Residential,166100,14491
2020-05-01,2020-05-31,Georgia,All Residential,254300,10681
2021-11-01,2021-11-30,Kentucky,Single Family Residential,242300,3039
2016-06-01,2016-06-30,Kentucky,Single Family Residential,175300,3426
2013-07-01,2013-07-31,California,Townhouse,434000,1481
2013-07-01,2013-07-31,South Dakota,All Residential,158500,446
2022-02-01,2022-02-28,Texas,Single Family Residential,349800,21291
2017-01-01,2017-01-31,Maryland,Townhouse,193900,1612
2017-07-01,2017-07-31,Maryland,Multi-Family (2-4 Unit),149200,21
2020-01-01,2020-01-31,Iowa,Multi-Family (2-4 Unit),160000,4
2021-01-01,2021-01-31,Pennsylvania,Condo/Co-op,216400,330
2017-02-01,2017-02-28,Louisiana,Single Family Residential,184700,1889
2015-02-01,2015-02-28,West Virginia,Townhouse,138100,23
2016-12-01,2016-12-31,New Jersey,Townhouse,251600,493
2019-11-01,2019-11-30,Nebraska,All Residential,204800,1473
2013-04-01,2013-04-30,Missouri,Townhouse,96400,47
2015-02-01,2015-02-28,Alabama,All Residential,159100,2130
2017-02-01,2017-02-28,California,Condo/Co-op,419500,3627
2018-12-01,2018-12-31,Virginia,Multi-Family (2-4 Unit),228100,40
2021-12-01,2021-12-31,Alaska,Condo/Co-op,223200,158
2014-12-01,2014-12-31,Arkansas,Multi-Family (2-4 Unit),130000,19
2017-07-01,2017-07-31,Wisconsin,Single Family Residential,191800,6655
2021-01-01,2021-01-31,West Virginia,Single Family Residential,249400,333
2018-10-01,2018-10-31,Idaho,Condo/Co-op,254900,64
2019-07-01,2019-07-31,Mississippi,Condo/Co-op,147000,23
2016-08-01,2016-08-31,Washington,Single Family Residential,361100,10190
2016-12-01,2016-12-31,Alabama,Condo/Co-op,267100,187
2015-11-01,2015-11-30,New Mexico,All Residential,293800,169
2020-10-01,2020-10-31,West Virginia,All Residential,217700,568
2022-01-01,2022-01-31,Delaware,Multi-Family (2-4 Unit),202300,12
2014-11-01,2014-11-30,Arkansas,All Residential,137600,1468
2017-02-01,2017-02-28,New Hampshire,Condo/Co-op,188100,146
2012-05-01,2012-05-31,New York,Townhouse,154700,137
2018-02-01,2018-02-28,Arizona,Condo/Co-op,157900,629
2013-01-01,2013-01-31,Washington,Condo/Co-op,160700,482
2021-03-01,2021-03-31,Pennsylvania,All Residential,249200,10232
2020-06-01,2020-06-30,Ohio,Single Family Residential,194100,12237
2013-07-01,2013-07-31,New Hampshire,Condo/Co-op,174800,222
2015-04-01,2015-04-30,Mississippi,Multi-Family (2-4 Unit),50000,3
2015-11-01,2015-11-30,Vermont,Single Family Residential,203600,464
2014-09-01,2014-09-30,Tennessee,Townhouse,149100,46
2016-09-01,2016-09-30,Missouri,All Residential,162100,5605
2016-10-01,2016-10-31,Kentucky,Townhouse,120600,36
2021-05-01,2021-05-31,Colorado,Multi-Family (2-4 Unit),768300,75
2012-09-01,2012-09-30,Idaho,Condo/Co-op,118900,32
2016-08-01,2016-08-31,New Jersey,All Residential,313500,11819
2020-06-01,2020-06-30,Indiana,Townhouse,191400,79
2018-07-01,2018-07-31,Maine,Condo/Co-op,292800,156
2013-11-01,2013-11-30,Maine,Multi-Family (2-4 Unit),69000,1
2018-07-01,2018-07-31,Utah,Single Family Residential,344600,3439
2019-05-01,2019-05-31,Missouri,Single Family Residential,202300,5982
2018-10-01,2018-10-31,Colorado,All Residential,410600,6620
2015-11-01,2015-11-30,Kansas,Single Family Residential,181900,1300
2016-11-01,2016-11-30,Washington,All Residential,350600,9600
2018-04-01,2018-04-30,California,Townhouse,652300,1445
2012-08-01,2012-08-31,Oklahoma,Single Family Residential,143600,3147
2020-10-01,2020-10-31,Tennessee,All Residential,298600,8692
2021-04-01,2021-04-30,West Virginia,All Residential,243100,435
2017-07-01,2017-07-31,Tennessee,Condo/Co-op,197200,269
2020-09-01,2020-09-30,Colorado,Multi-Family (2-4 Unit),838100,70
2021-08-01,2021-08-31,Indiana,Condo/Co-op,194200,331
2018-01-01,2018-01-31,Arkansas,Multi-Family (2-4 Unit),166000,16
2013-02-01,2013-02-28,Wisconsin,Condo/Co-op,106100,53
2020-06-01,2020-06-30,New Hampshire,Single Family Residential,326800,1717
2014-12-01,2014-12-31,New Mexico,Single Family Residential,322100,138
2012-09-01,2012-09-30,Idaho,Single Family Residential,151600,1294
2020-09-01,2020-09-30,West Virginia,Single Family Residential,241400,469
2022-02-01,2022-02-28,Minnesota,Multi-Family (2-4 Unit),336300,84
2017-07-01,2017-07-31,Kansas,Condo/Co-op,107500,39
2022-03-01,2022-03-31,Alaska,Single Family Residential,355200,463
2018-03-01,2018-03-31,Georgia,All Residential,232200,12608
2020-04-01,2020-04-30,Arkansas,Single Family Residential,193400,2354
2021-06-01,2021-06-30,Georgia,Condo/Co-op,250000,948
2021-11-01,2021-11-30,Vermont,Townhouse,339800,74
2014-10-01,2014-10-31,Rhode Island,Condo/Co-op,202300,144
2018-03-01,2018-03-31,Virginia,Single Family Residential,330400,6583
2012-08-01,2012-08-31,South Dakota,Single Family Residential,160500,334
2017-10-01,2017-10-31,Florida,Single Family Residential,249800,20083
2018-07-01,2018-07-31,Maryland,Multi-Family (2-4 Unit),142300,11
2018-12-01,2018-12-31,Hawaii,Condo/Co-op,424400,652
2022-02-01,2022-02-28,Massachusetts,Townhouse,491600,366
2014-10-01,2014-10-31,Illinois,Condo/Co-op,164800,2306
2017-04-01,2017-04-30,Oregon,Single Family Residential,331000,4203
2015-04-01,2015-04-30,Maryland,Multi-Family (2-4 Unit),121800,10
2013-10-01,2013-10-31,Texas,Multi-Family (2-4 Unit),166300,199
2018-10-01,2018-10-31,Kentucky,Townhouse,155800,52
2020-09-01,2020-09-30,California,Single Family Residential,674700,30597
2021-08-01,2021-08-31,Missouri,All Residential,231000,7515
2012-07-01,2012-07-31,Connecticut,All Residential,211300,1721
2020-09-01,2020-09-30,Arizona,All Residential,329500,11702
2018-02-01,2018-02-28,California,Condo/Co-op,470400,3484
2019-06-01,2019-06-30,Nevada,Multi-Family (2-4 Unit),343600,48
2014-05-01,2014-05-31,Utah,Multi-Family (2-4 Unit),258600,38
2016-10-01,2016-10-31,Mississippi,Multi-Family (2-4 Unit),159000,3
2018-04-01,2018-04-30,New Mexico,Townhouse,313500,20
2018-01-01,2018-01-31,South Dakota,Townhouse,191400,26
2013-06-01,2013-06-30,Connecticut,Condo/Co-op,148400,307
2017-09-01,2017-09-30,South Dakota,Townhouse,193500,39
2021-02-01,2021-02-28,Iowa,Single Family Residential,225800,759
2021-11-01,2021-11-30,Arkansas,Single Family Residential,224400,2860
2013-06-01,2013-06-30,New Mexico,Single Family Residential,336000,146
2016-03-01,2016-03-31,Oregon,Single Family Residential,294500,4380
2014-03-01,2014-03-31,Idaho,Townhouse,141100,28
2017-10-01,2017-10-31,Kentucky,Multi-Family (2-4 Unit),136000,24
2015-06-01,2015-06-30,Mississippi,Townhouse,106800,18
2016-01-01,2016-01-31,Minnesota,Townhouse,163300,467
2013-11-01,2013-11-30,Iowa,Condo/Co-op,140600,107
2016-02-01,2016-02-29,Michigan,All Residential,127700,7348
2013-07-01,2013-07-31,Maryland,Multi-Family (2-4 Unit),63800,17
2018-12-01,2018-12-31,Virginia,All Residential,317600,8256
2020-12-01,2020-12-31,Louisiana,Townhouse,158500,62
2013-11-01,2013-11-30,Alabama,All Residential,151900,1977
2017-12-01,2017-12-31,Hawaii,Condo/Co-op,421200,665
2019-08-01,2019-08-31,Delaware,Condo/Co-op,135800,35
2018-08-01,2018-08-31,Maine,Single Family Residential,226900,1981
2016-04-01,2016-04-30,Texas,Multi-Family (2-4 Unit),202400,201
2017-10-01,2017-10-31,North Carolina,All Residential,220500,10093
2015-01-01,2015-01-31,Connecticut,Multi-Family (2-4 Unit),130700,69
2018-04-01,2018-04-30,Mississippi,Condo/Co-op,150300,26
2015-01-01,2015-01-31,Connecticut,Condo/Co-op,141300,199
2014-01-01,2014-01-31,Tennessee,Multi-Family (2-4 Unit),57100,17
2018-08-01,2018-08-31,Nevada,All Residential,289800,5132
2018-11-01,2018-11-30,South Dakota,Multi-Family (2-4 Unit),145000,3
2019-01-01,2019-01-31,New Jersey,Single Family Residential,297000,5706
2021-03-01,2021-03-31,Louisiana,All Residential,242000,3895
2020-11-01,2020-11-30,Georgia,Townhouse,257100,1170
2020-06-01,2020-06-30,Louisiana,Townhouse,158600,60
2019-03-01,2019-03-31,Alabama,All Residential,203800,3429
2019-10-01,2019-10-31,Oregon,Condo/Co-op,266700,298
2017-07-01,2017-07-31,Massachusetts,Condo/Co-op,411200,1401
2013-01-01,2013-01-31,Arkansas,Single Family Residential,120000,652
2021-08-01,2021-08-31,Pennsylvania,Condo/Co-op,251100,539
2014-12-01,2014-12-31,Minnesota,All Residential,188500,4747
2021-12-01,2021-12-31,Florida,All Residential,363400,43289
2017-12-01,2017-12-31,Hawaii,Single Family Residential,615500,677
2017-10-01,2017-10-31,Nevada,Townhouse,175000,305
2012-10-01,2012-10-31,Kentucky,Single Family Residential,144700,2095
2018-12-01,2018-12-31,Louisiana,All Residential,206900,2175
2017-01-01,2017-01-31,Rhode Island,All Residential,228500,941
2013-09-01,2013-09-30,Columbia,Townhouse,566600,255
2022-02-01,2022-02-28,Connecticut,Townhouse,716000,3
2017-12-01,2017-12-31,Columbia,Condo/Co-op,435000,288
2012-06-01,2012-06-30,South Carolina,Condo/Co-op,113200,525
2018-10-01,2018-10-31,Indiana,Townhouse,180800,98
2013-06-01,2013-06-30,Michigan,Single Family Residential,134800,7519
2020-08-01,2020-08-31,Nevada,Multi-Family (2-4 Unit),358000,28
2019-07-01,2019-07-31,Kansas,Single Family Residential,238700,2444
2015-10-01,2015-10-31,Colorado,All Residential,314100,7126
2016-10-01,2016-10-31,Georgia,Multi-Family (2-4 Unit),136200,49
2018-07-01,2018-07-31,Maryland,Townhouse,236600,2584
2015-05-01,2015-05-31,Hawaii,Townhouse,603100,8
2020-12-01,2020-12-31,Nebraska,Single Family Residential,225800,1486
2020-06-01,2020-06-30,Colorado,All Residential,443200,8654
2021-12-01,2021-12-31,Missouri,Single Family Residential,234300,5715
2015-05-01,2015-05-31,Idaho,Condo/Co-op,195000,43
2018-10-01,2018-10-31,Maryland,Condo/Co-op,191500,563
2015-09-01,2015-09-30,Connecticut,Condo/Co-op,147500,319
2015-01-01,2015-01-31,Vermont,All Residential,182400,343
2021-05-01,2021-05-31,Mississippi,Single Family Residential,225700,1439
2012-08-01,2012-08-31,Utah,Condo/Co-op,160800,290
2019-04-01,2019-04-30,Massachusetts,Townhouse,383500,597
2017-07-01,2017-07-31,Missouri,Multi-Family (2-4 Unit),129000,93
2012-12-01,2012-12-31,Connecticut,Single Family Residential,207300,1108
2018-11-01,2018-11-30,South Carolina,Townhouse,181800,230
2017-07-01,2017-07-31,Georgia,All Residential,226500,12850
2022-01-01,2022-01-31,Indiana,Multi-Family (2-4 Unit),159900,88
2022-05-01,2022-05-31,Arizona,Multi-Family (2-4 Unit),525000,78
2019-07-01,2019-07-31,Pennsylvania,All Residential,229400,12683
2018-08-01,2018-08-31,Mississippi,Townhouse,155200,25
2022-04-01,2022-04-30,Rhode Island,All Residential,432200,1114
2019-08-01,2019-08-31,South Dakota,Townhouse,196900,70
2014-01-01,2014-01-31,Illinois,Multi-Family (2-4 Unit),141800,316
2017-02-01,2017-02-28,Kansas,Condo/Co-op,125800,22
2014-07-01,2014-07-31,Delaware,All Residential,203600,708
2015-12-01,2015-12-31,Idaho,Single Family Residential,198000,1687
2015-09-01,2015-09-30,Indiana,Single Family Residential,149900,3977
2015-03-01,2015-03-31,Vermont,All Residential,198100,493
2019-07-01,2019-07-31,Louisiana,Townhouse,164500,49
2017-04-01,2017-04-30,Arizona,Multi-Family (2-4 Unit),194200,76
2021-07-01,2021-07-31,California,Townhouse,759600,1988
2014-10-01,2014-10-31,Connecticut,All Residential,193200,1906
2021-02-01,2021-02-28,Indiana,Townhouse,191300,31
2018-04-01,2018-04-30,Georgia,Condo/Co-op,203800,716
2020-03-01,2020-03-31,Missouri,Condo/Co-op,162600,339
2018-08-01,2018-08-31,Kansas,All Residential,211200,2467
2015-11-01,2015-11-30,Idaho,Condo/Co-op,191700,25
2013-10-01,2013-10-31,Alaska,Condo/Co-op,194600,122
2014-10-01,2014-10-31,Arkansas,Multi-Family (2-4 Unit),138900,19
2014-08-01,2014-08-31,Illinois,Multi-Family (2-4 Unit),179300,461
2021-12-01,2021-12-31,Massachusetts,All Residential,530600,8112
2015-01-01,2015-01-31,Pennsylvania,All Residential,168200,5992
2020-07-01,2020-07-31,Missouri,All Residential,213200,7790
2016-01-01,2016-01-31,New Mexico,Townhouse,232100,13
2016-04-01,2016-04-30,West Virginia,All Residential,168600,294
2014-09-01,2014-09-30,Michigan,Multi-Family (2-4 Unit),50400,108
2017-02-01,2017-02-28,Tennessee,Multi-Family (2-4 Unit),152000,49
2018-11-01,2018-11-30,South Dakota,Townhouse,185500,50
2022-02-01,2022-02-28,Minnesota,Single Family Residential,329500,2954
2022-03-01,2022-03-31,Oklahoma,Single Family Residential,232500,4163
